wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2021,03,202103,1.71,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
1100,2021,03,202103,2.86,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
1200,2021,03,202103,1.52,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
1300,2021,03,202103,1.04,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
1400,2021,03,202103,1.06,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
1500,2021,03,202103,1.29,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
1600,2021,03,202103,2.26,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
1700,2021,03,202103,2.57,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
1800,2021,03,202103,1.88,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
1900,2021,03,202103,0.61,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
2100,2021,03,202103,1.07,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
3100,2021,03,202103,0.64,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
3200,2021,03,202103,1.47,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
3300,2021,03,202103,1.91,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
3400,2021,03,202103,2.42,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
3500,2021,03,202103,1.84,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
3600,2021,03,202103,1.09,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
5100,2021,03,202103,0.68,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
5200,2021,03,202103,2.24,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
5300,2021,03,202103,3.96,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
6100,2021,03,202103,1.03,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
6200,2021,03,202103,0.71,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
6300,2021,03,202103,0.67,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
6400,2021,03,202103,1.22,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
6500,2021,03,202103,0.87,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
7100,2021,03,202103,1.24,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
7200,2021,03,202103,2.43,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
7300,2021,03,202103,1.49,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
7400,2021,03,202103,2.16,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
7500,2021,03,202103,2.87,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
7600,2021,03,202103,1.76,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
8100,2021,03,202103,3.58,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
8200,2021,03,202103,0.97,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
9100,2021,03,202103,5.49,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
9400,2021,03,202103,5.60,1.71,,,,,2021-07-15,%,Badan Pusat Statistik,39,ind1_kedalaman
