wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator,,,,
1000,2022,00,202200,5.31,5.31,,,,,2023-07-03,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,,,,
1101,2022,00,202200,3.62,5.31,,,,,2023-07-03,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,,,,
1102,2022,00,202200,3.61,5.31,,,,,2023-07-03,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,,,,
1103,2022,00,202200,3.11,5.31,,,,,2023-07-03,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,,,,
1104,2022,00,202200,2.78,5.31,,,,,2023-07-03,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,,,,
1105,2022,00,202200,3.73,5.31,,,,,2023-07-03,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,,,,
1106,2022,00,202200,4.9,5.31,,,,,2023-07-03,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,,,,
1107,2022,00,202200,3.32,5.31,,,,,2023-07-03,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,,,,
1108,2022,00,202200,3.87,5.31,,,,,2023-07-03,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,,,,
1109,2022,00,202200,3.98,5.31,,,,,2023-07-03,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,,,,
1110,2022,00,202200,4.31,5.31,,,,,2023-07-03,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,,,,
1111,2022,00,202200,4.63,5.31,,,,,2023-07-03,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,,,,
1112,2022,00,202200,3.87,5.31,,,,,2023-07-03,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,,,,
1113,2022,00,202200,3.51,5.31,,,,,2023-07-03,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,,,,
1114,2022,00,202200,3.32,5.31,,,,,2023-07-03,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,,,,
1115,2022,00,202200,2.37,5.31,,,,,2023-07-03,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,,,,
1116,2022,00,202200,3.68,5.31,,,,,2023-07-03,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,,,,
1117,2022,00,202200,3.69,5.31,,,,,2023-07-03,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,,,,
1118,2022,00,202200,3.57,5.31,,,,,2023-07-03,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,,,,
1201,2022,00,202200,3.06,5.31,,,,,2023-07-03,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,,,,
1202,2022,00,202200,4.34,5.31,,,,,2023-07-03,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,,,,
