wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2021,00,202100,71.57,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1100,2021,00,202100,69.96,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1200,2021,00,202100,69.23,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1300,2021,00,202100,69.59,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1400,2021,00,202100,71.67,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1500,2021,00,202100,71.22,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1600,2021,00,202100,69.98,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1700,2021,00,202100,69.42,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1800,2021,00,202100,70.73,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1900,2021,00,202100,70.73,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
2100,2021,00,202100,70.12,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
3100,2021,00,202100,73.01,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
3200,2021,00,202100,73.23,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
3300,2021,00,202100,74.47,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
3400,2021,00,202100,75.04,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
3500,2021,00,202100,71.38,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
3600,2021,00,202100,70.02,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
5100,2021,00,202100,72.24,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
5200,2021,00,202100,66.69,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
5300,2021,00,202100,67.15,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
6100,2021,00,202100,70.76,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
6200,2021,00,202100,69.79,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
6300,2021,00,202100,68.83,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
6400,2021,00,202100,74.61,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
6500,2021,00,202100,72.65,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
7100,2021,00,202100,71.76,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
7200,2021,00,202100,68.83,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
7300,2021,00,202100,70.66,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
7400,2021,00,202100,71.27,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
7500,2021,00,202100,68.19,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
7600,2021,00,202100,65.25,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
8100,2021,00,202100,66.09,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
8200,2021,00,202100,68.45,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
9100,2021,00,202100,66.14,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
9400,2021,00,202100,65.93,71.57,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
