wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2021,00,202100,40775880,40775880,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
1100,2021,00,202100,25357400,40775880,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
1200,2021,00,202100,36666200,40775880,,,38000000,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
1300,2021,00,202100,31360000,40775880,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
1400,2021,00,202100,77993330,40775880,,,70960000,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
1500,2021,00,202100,42922340,40775880,,,44150000,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
1600,2021,00,202100,38172580,40775880,,,39766000,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
1700,2021,00,202100,23532240,40775880,,,23400000,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
1800,2021,00,202100,27197460,40775880,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
1900,2021,00,202100,37579450,40775880,,,36500000,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
2100,2021,00,202100,85425890,40775880,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
3100,2021,00,202100,174962980,40775880,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
3200,2021,00,202100,30907590,40775880,,,29430000,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
3300,2021,00,202100,27143420,40775880,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
3400,2021,00,202100,28901580,40775880,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
3500,2021,00,202100,40830880,40775880,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
3600,2021,00,202100,38199270,40775880,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
5100,2021,00,202100,32977090,40775880,,,40000000,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
5200,2021,00,202100,17706290,40775880,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
5300,2021,00,202100,13092380,40775880,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
6100,2021,00,202100,25807400,40775880,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
6200,2021,00,202100,37856420,40775880,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
6300,2021,00,202100,32846660,40775880,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
6400,2021,00,202100,127171080,40775880,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
6500,2021,00,202100,88510410,40775880,,,69277500,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
7100,2021,00,202100,34787330,40775880,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
7200,2021,00,202100,49588290,40775880,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
7300,2021,00,202100,37573320,40775880,,,40720000,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
7400,2021,00,202100,36581890,40775880,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
7500,2021,00,202100,24649650,40775880,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
7600,2021,00,202100,22879780,40775880,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
8100,2021,00,202100,17019390,40775880,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
8200,2021,00,202100,25104430,40775880,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
9100,2021,00,202100,52979330,40775880,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
9400,2021,00,202100,36416720,40775880,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
