wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2021,00,202100,13.08,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
1100,2021,00,202100,14.36,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
1200,2021,00,202100,13.27,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
1300,2021,00,202100,14.09,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
1400,2021,00,202100,13.28,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
1500,2021,00,202100,13.04,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
1600,2021,00,202100,12.54,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
1700,2021,00,202100,13.67,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
1800,2021,00,202100,12.73,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
1900,2021,00,202100,12.17,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
2100,2021,00,202100,12.98,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
3100,2021,00,202100,13.07,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
3200,2021,00,202100,12.61,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
3300,2021,00,202100,12.77,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
3400,2021,00,202100,15.64,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
3500,2021,00,202100,13.36,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
3600,2021,00,202100,13.02,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
5100,2021,00,202100,13.4,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
5200,2021,00,202100,13.9,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
5300,2021,00,202100,13.2,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
6100,2021,00,202100,12.65,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
6200,2021,00,202100,12.74,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
6300,2021,00,202100,12.81,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
6400,2021,00,202100,13.81,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
6500,2021,00,202100,12.94,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
7100,2021,00,202100,12.94,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
7200,2021,00,202100,13.23,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
7300,2021,00,202100,13.52,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
7400,2021,00,202100,13.68,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
7500,2021,00,202100,13.11,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
7600,2021,00,202100,12.86,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
8100,2021,00,202100,13.97,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
8200,2021,00,202100,13.68,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
9100,2021,00,202100,13.13,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
9400,2021,00,202100,11.11,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
