wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator,
1000,2015,03,201503,11.22,11.22,,,,,2015-10-21,%,Badan Pusat Statistik,36,ind1_tingkatmiskin,
1101,2015,03,201503,20.43,11.22,,,,,2015-10-21,%,Badan Pusat Statistik,36,ind1_tingkatmiskin,
1102,2015,03,201503,21.72,11.22,,,,,2015-10-21,%,Badan Pusat Statistik,36,ind1_tingkatmiskin,
1103,2015,03,201503,13.24,11.22,,,,,2015-10-21,%,Badan Pusat Statistik,36,ind1_tingkatmiskin,
1104,2015,03,201503,14.91,11.22,,,,,2015-10-21,%,Badan Pusat Statistik,36,ind1_tingkatmiskin,
1105,2015,03,201503,15.85,11.22,,,,,2015-10-21,%,Badan Pusat Statistik,36,ind1_tingkatmiskin,
1106,2015,03,201503,17.51,11.22,,,,,2015-10-21,%,Badan Pusat Statistik,36,ind1_tingkatmiskin,
1107,2015,03,201503,21.46,11.22,,,,,2015-10-21,%,Badan Pusat Statistik,36,ind1_tingkatmiskin,
1108,2015,03,201503,15.93,11.22,,,,,2015-10-21,%,Badan Pusat Statistik,36,ind1_tingkatmiskin,
1109,2015,03,201503,21.18,11.22,,,,,2015-10-21,%,Badan Pusat Statistik,36,ind1_tingkatmiskin,
1110,2015,03,201503,16.94,11.22,,,,,2015-10-21,%,Badan Pusat Statistik,36,ind1_tingkatmiskin,
1111,2015,03,201503,19.20,11.22,,,,,2015-10-21,%,Badan Pusat Statistik,36,ind1_tingkatmiskin,
1112,2015,03,201503,18.25,11.22,,,,,2015-10-21,%,Badan Pusat Statistik,36,ind1_tingkatmiskin,
1113,2015,03,201503,21.95,11.22,,,,,2015-10-21,%,Badan Pusat Statistik,36,ind1_tingkatmiskin,
1114,2015,03,201503,14.57,11.22,,,,,2015-10-21,%,Badan Pusat Statistik,36,ind1_tingkatmiskin,
1115,2015,03,201503,20.13,11.22,,,,,2015-10-21,%,Badan Pusat Statistik,36,ind1_tingkatmiskin,
1116,2015,03,201503,15.93,11.22,,,,,2015-10-21,%,Badan Pusat Statistik,36,ind1_tingkatmiskin,
1117,2015,03,201503,21.55,11.22,,,,,2015-10-21,%,Badan Pusat Statistik,36,ind1_tingkatmiskin,
1118,2015,03,201503,21.40,11.22,,,,,2015-10-21,%,Badan Pusat Statistik,36,ind1_tingkatmiskin,
1171,2015,03,201503,7.72,11.22,,,,,2015-10-21,%,Badan Pusat Statistik,36,ind1_tingkatmiskin,
1172,2015,03,201503,17.69,11.22,,,,,2015-10-21,%,Badan Pusat Statistik,36,ind1_tingkatmiskin,
1173,2015,03,201503,11.62,11.22,,,,,2015-10-21,%,Badan Pusat Statistik,36,ind1_tingkatmiskin,
1174,2015,03,201503,12.16,11.22,,,,,2015-10-21,%,Badan Pusat Statistik,36,ind1_tingkatmiskin,
1175,2015,03,201503,20.39,11.22,,,,,2015-10-21,%,Badan Pusat Statistik,36,ind1_tingkatmiskin,
1201,2015,03,201503,18.05,11.22,,,,,2015-10-21,%,Badan Pusat Statistik,36,ind1_tingkatmiskin,
1202,2015,03,201503,11.13,11.22,,,,,2015-10-21,%,Badan Pusat Statistik,36,ind1_tingkatmiskin,
