wilayah,tahun,periode,id_periode,nilai,nasional,target,versi,satuan,sumber,id_indikator,nama_indikator
1000,2020,3,202003,0.381,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
1100,2020,3,202003,0.323,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
1200,2020,3,202003,0.316,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
1300,2020,3,202003,0.305,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
1400,2020,3,202003,0.329,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
1500,2020,3,202003,0.32,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
1600,2020,3,202003,0.339,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
1700,2020,3,202003,0.334,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
1800,2020,3,202003,0.327,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
1900,2020,3,202003,0.262,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
2100,2020,3,202003,0.339,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
3100,2020,3,202003,0.399,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
3200,2020,3,202003,0.403,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
3300,2020,3,202003,0.362,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
3400,2020,3,202003,0.434,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
3500,2020,3,202003,0.366,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
3600,2020,3,202003,0.363,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
5100,2020,3,202003,0.369,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
5200,2020,3,202003,0.376,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
5300,2020,3,202003,0.354,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
6100,2020,3,202003,0.317,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
6200,2020,3,202003,0.329,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
6300,2020,3,202003,0.332,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
6400,2020,3,202003,0.328,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
6500,2020,3,202003,0.292,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
7100,2020,3,202003,0.37,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
7200,2020,3,202003,0.326,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
7300,2020,3,202003,0.389,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
7400,2020,3,202003,0.389,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
7500,2020,3,202003,0.408,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
7600,2020,3,202003,0.364,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
8100,2020,3,202003,0.318,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
8200,2020,3,202003,0.308,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
9100,2020,3,202003,0.382,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
9400,2020,3,202003,0.392,0.381,,2020-07-16,,Badan Pusat Statistik,7,ind1_ginirasio
