wilayah,tahun,periode,id_periode,nilai,nasional,target RKP,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2015,02,201502,5.81,5.81,,,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
1100,2015,02,201502,7.73,5.81,9.18,8.5,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
1200,2015,02,201502,6.39,5.81,6.29,6,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
1300,2015,02,201502,5.99,5.81,6.65,6.1,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
1400,2015,02,201502,6.72,5.81,4.39,3.8,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
1500,2015,02,201502,2.73,5.81,3.28,3,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
1600,2015,02,201502,5.03,5.81,5.83,5.5,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
1700,2015,02,201502,3.21,5.81,3.67,3.4,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
1800,2015,02,201502,3.44,5.81,5.22,4.9,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
1900,2015,02,201502,3.35,5.81,3.57,3.3,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
2100,2015,02,201502,9.05,5.81,5.41,5.1,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
3100,2015,02,201502,8.36,5.81,7.95,9.3,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
3200,2015,02,201502,8.4,5.81,8.71,8.6,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
3300,2015,02,201502,5.31,5.81,5.72,9.6,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
3400,2015,02,201502,4.07,5.81,2.99,5.4,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
3500,2015,02,201502,4.31,5.81,4.19,3.8,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
3600,2015,02,201502,8.58,5.81,9.23,4,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
5100,2015,02,201502,1.37,5.81,1.54,1.9,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
5200,2015,02,201502,4.98,5.81,5.34,4.9,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
5300,2015,02,201502,3.12,5.81,2.96,2.6,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
6100,2015,02,201502,4.78,5.81,3.51,2.6,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
6200,2015,02,201502,3.14,5.81,2.98,2.6,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
6300,2015,02,201502,4.83,5.81,3.3,4,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
6400,2015,02,201502,7.17,5.81,7.04,8.4,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
6500,2015,02,201502,5.79,5.81,-,7.9,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
7100,2015,02,201502,8.69,5.81,5.83,7.2,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
7200,2015,02,201502,2.99,5.81,3.99,3.6,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
7300,2015,02,201502,5.81,5.81,4.9,5.6,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
7400,2015,02,201502,3.62,5.81,4.09,3.7,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
7500,2015,02,201502,3.06,5.81,4.41,4,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
7600,2015,02,201502,1.81,5.81,2.16,2,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
8100,2015,02,201502,6.72,5.81,7.67,7,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
8200,2015,02,201502,5.56,5.81,3.81,4.4,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
9100,2015,02,201502,4.61,5.81,24.84,5.1,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
9400,2015,02,201502,3.72,5.81,3.26,3.4,,,2015-05-05,%,Badan Pusat Statistik,6,ind1_tpt
1000,2016,02,201602,5.5,5.5,,,,,2016-05-04,%,Badan Pusat Statistik,6,ind1_tpt
1100,2016,02,201602,8.13,5.5,8.2,8.2,,,2016-05-04,%,Badan Pusat Statistik,6,ind1_tpt
1200,2016,02,201602,6.49,5.5,5.8,5.8,,,2016-05-04,%,Badan Pusat Statistik,6,ind1_tpt
1300,2016,02,201602,5.81,5.5,5.9,5.9,,,2016-05-04,%,Badan Pusat Statistik,6,ind1_tpt
1400,2016,02,201602,5.94,5.5,3.7,3.7,,,2016-05-04,%,Badan Pusat Statistik,6,ind1_tpt
1500,2016,02,201602,4.66,5.5,2.9,2.9,,,2016-05-04,%,Badan Pusat Statistik,6,ind1_tpt
1600,2016,02,201602,3.94,5.5,5.3,5.3,,,2016-05-04,%,Badan Pusat Statistik,6,ind1_tpt
1700,2016,02,201602,3.84,5.5,3.3,3.3,,,2016-05-04,%,Badan Pusat Statistik,6,ind1_tpt
1800,2016,02,201602,4.54,5.5,4.7,4.7,,,2016-05-04,%,Badan Pusat Statistik,6,ind1_tpt
1900,2016,02,201602,6.17,5.5,3.1,3.1,,,2016-05-04,%,Badan Pusat Statistik,6,ind1_tpt
2100,2016,02,201602,9.03,5.5,4.8,4.8,,,2016-05-04,%,Badan Pusat Statistik,6,ind1_tpt
3100,2016,02,201602,5.77,5.5,9.1,9.1,,,2016-05-04,%,Badan Pusat Statistik,6,ind1_tpt
3200,2016,02,201602,8.57,5.5,8.3,8.3,,,2016-05-04,%,Badan Pusat Statistik,6,ind1_tpt
