wilayah,tahun,periode,id_periode,nilai,nasional,target,versi,satuan,sumber,id_indikator,nama_indikator
1000,2020,03,202003,9.78,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1100,2020,03,202003,14.99,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1200,2020,03,202003,8.75,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1300,2020,03,202003,6.28,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1400,2020,03,202003,6.82,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1500,2020,03,202003,7.58,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1600,2020,03,202003,12.66,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1700,2020,03,202003,15.03,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1800,2020,03,202003,12.34,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1900,2020,03,202003,4.53,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
2100,2020,03,202003,5.92,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
3100,2020,03,202003,4.53,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
3200,2020,03,202003,7.88,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
3300,2020,03,202003,11.41,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
3400,2020,03,202003,12.28,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
3500,2020,03,202003,11.09,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
3600,2020,03,202003,5.92,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
5100,2020,03,202003,3.78,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
5200,2020,03,202003,13.97,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
5300,2020,03,202003,20.9,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
6100,2020,03,202003,7.17,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
6200,2020,03,202003,4.82,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
6300,2020,03,202003,4.38,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
6400,2020,03,202003,6.1,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
6500,2020,03,202003,6.8,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
7100,2020,03,202003,7.62,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
7200,2020,03,202003,12.92,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
7300,2020,03,202003,8.72,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
7400,2020,03,202003,11,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
7500,2020,03,202003,15.22,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
7600,2020,03,202003,10.87,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
8100,2020,03,202003,17.44,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
8200,2020,03,202003,6.78,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
9100,2020,03,202003,21.37,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
9400,2020,03,202003,26.64,9.78,,2020-07-17,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
