wilayah,tahun,periode,id_periode,nilai,nasional,target,versi,satuan,sumber,id_indikator,nama_indikator
1000,2020,00,202000,39560000,39560000,,2021-02-05,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
1100,2020,00,202000,24100000,39560000,,2021-02-05,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
1200,2020,00,202000,36303152,39560000,,2021-02-05,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
1300,2020,00,202000,30816451,39560000,,2021-02-05,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
1400,2020,00,202000,76637129,39560000,,2021-02-05,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
1500,2020,00,202000,40362440,39560000,,2021-02-05,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
1600,2020,00,202000,36780000,39560000,,2021-02-05,Rupiah,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
1700,2020,00,202000,22942830,39560000,,2021-02-05,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
1800,2020,00,202000,28202701,39560000,,2021-02-05,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
1900,2020,00,202000,34730000,39560000,,2021-02-15,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
2100,2020,00,202000,84752375,39560000,,2021-02-15,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
3100,2020,00,202000,168416752,39560000,,2021-02-15,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
3200,2020,00,202000,29142090,39560000,,2021-02-15,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
3300,2020,00,202000,27640000,39560000,,2021-02-15,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
3400,2020,00,202000,27720000,39560000,,2021-02-15,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
3500,2020,00,202000,39600000,39560000,,2021-02-15,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
3600,2020,00,202000,33531967,39560000,,2021-02-15,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
5100,2020,00,202000,34175583,39560000,,2021-02-15,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
5200,2020,09,202009,17531489,39560000,,2021-02-15,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
5300,2020,09,202009,12920066,39560000,,2021-02-15,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
6100,2020,09,202009,26241417,39560000,,2021-02-15,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
6200,2020,00,202000,37062871,39560000,,2021-02-15,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
6300,2020,00,202000,32125420,39560000,,2021-02-05,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
6400,2020,00,202000,125560273,39560000,,2021-02-05,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
6500,2020,00,202000,79040082,39560000,,2021-02-05,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
7100,2020,00,202000,34851038,39560000,,2021-02-05,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
7200,2020,00,202000,43315440,39560000,,2021-02-05,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
7300,2020,00,202000,36763063,39560000,,2021-02-05,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
7400,2020,00,202000,35600445,39560000,,2021-02-05,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
7500,2020,00,202000,23305062,39560000,,2021-02-05,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
7600,2020,00,202000,23278036,39560000,,2021-02-05,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
8100,2020,00,202000,16639430,39560000,,2021-02-05,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
8200,2020,00,202000,21722402,39560000,,2021-02-05,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
9100,2020,00,202000,62730000,39560000,,2021-02-05,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
9400,2020,00,202000,31990461,39560000,,2021-02-05,Rupiah,"diolah, dit PEPPD",3,ind1_pdrbkapita_adhk
