wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2021,08,202108,9102052,9102052,,,,,2022-01-11,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1101,2021,08,202108,2725,9102052,,,,,2022-01-11,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1102,2021,08,202108,4333,9102052,,,,,2022-01-11,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1103,2021,08,202108,7090,9102052,,,,,2022-01-11,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1104,2021,08,202108,6733,9102052,,,,,2022-01-11,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1105,2021,08,202108,12989,9102052,,,,,2022-01-11,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1106,2021,08,202108,3056,9102052,,,,,2022-01-11,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1107,2021,08,202108,6777,9102052,,,,,2022-01-11,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1108,2021,08,202108,15121,9102052,,,,,2022-01-11,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1109,2021,08,202108,14705,9102052,,,,,2022-01-11,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1110,2021,08,202108,10084,9102052,,,,,2022-01-11,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1111,2021,08,202108,21876,9102052,,,,,2022-01-11,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1112,2021,08,202108,2663,9102052,,,,,2022-01-11,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1113,2021,08,202108,957,9102052,,,,,2022-01-11,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1114,2021,08,202108,8355,9102052,,,,,2022-01-11,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1115,2021,08,202108,4071,9102052,,,,,2022-01-11,Orang,Badan Pusat Statistik,4,ind1_pengangguran
