wilayah,tahun,periode,id_periode,nilai,nasional,target,versi,satuan,sumber,id_indikator,nama_indikator
1000,2020,03,202003,1.61,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1000,2020,03,202003,1.61,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1101,2020,03,202003,2.21,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1102,2020,03,202003,3.55,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1103,2020,03,202003,2.13,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1104,2020,03,202003,1.62,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1105,2020,03,202003,2.29,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1106,2020,03,202003,2.89,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1107,2020,03,202003,2.74,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1108,2020,03,202003,2.4,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1109,2020,03,202003,2.2,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1110,2020,03,202003,1.95,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1111,2020,03,202003,2.6,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1112,2020,03,202003,3.41,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1113,2020,03,202003,2.44,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1114,2020,03,202003,1.61,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1115,2020,03,202003,3.33,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1116,2020,03,202003,2.19,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1117,2020,03,202003,3.52,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1118,2020,03,202003,3.08,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1201,2020,03,202003,1.91,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1202,2020,03,202003,1.14,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1203,2020,03,202003,0.87,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1204,2020,03,202003,1.84,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1205,2020,03,202003,1.18,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1206,2020,03,202003,1,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1207,2020,03,202003,0.98,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1208,2020,03,202003,1.37,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1209,2020,03,202003,1.47,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1210,2020,03,202003,1.09,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1211,2020,03,202003,1.39,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1212,2020,03,202003,0.55,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1213,2020,03,202003,1.52,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1214,2020,03,202003,2.82,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1215,2020,03,202003,1.29,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1216,2020,03,202003,1.38,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1217,2020,03,202003,1.84,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1218,2020,03,202003,0.98,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1219,2020,03,202003,1.61,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1220,2020,03,202003,1.2,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1221,2020,03,202003,1.19,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1222,2020,03,202003,0.99,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1223,2020,03,202003,1.87,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1224,2020,03,202003,4.12,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1225,2020,03,202003,3.21,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1301,2020,03,202003,2.84,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1302,2020,03,202003,0.81,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1303,2020,03,202003,1.16,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1304,2020,03,202003,0.97,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1305,2020,03,202003,0.42,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1306,2020,03,202003,0.67,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1307,2020,03,202003,0.79,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1308,2020,03,202003,0.78,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1309,2020,03,202003,0.7,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1310,2020,03,202003,0.79,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1311,2020,03,202003,0.71,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1312,2020,03,202003,0.62,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1401,2020,03,202003,1.44,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1402,2020,03,202003,0.78,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1403,2020,03,202003,0.96,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1404,2020,03,202003,1.31,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1405,2020,03,202003,1.27,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1406,2020,03,202003,0.77,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1407,2020,03,202003,2.04,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1408,2020,03,202003,0.72,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1409,2020,03,202003,1.1,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1410,2020,03,202003,4.32,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1501,2020,03,202003,1.05,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1502,2020,03,202003,0.94,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1503,2020,03,202003,1.08,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1504,2020,03,202003,1.28,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1505,2020,03,202003,0.31,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
1506,2020,03,202003,1.45,1.61,,2020-11-23,%,Badan Pusat Statistik,39,ind1_kedalaman
