wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2021,00,202100,72.29,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1100,2021,00,202100,72.18,72.29,,,72.15,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1200,2021,00,202100,72,72.29,,,72.22,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1300,2021,00,202100,72.65,72.29,,,72.99,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1400,2021,00,202100,72.94,72.29,,,73.13,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1500,2021,00,202100,71.63,72.29,,,72.507,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1600,2021,00,202100,70.24,72.29,,,71.75,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1700,2021,00,202100,71.64,72.29,,,71.25,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1800,2021,00,202100,69.9,72.29,,,70.86,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1900,2021,00,202100,71.69,72.29,,,71.35,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
2100,2021,00,202100,75.79,72.29,,,75.19,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
3100,2021,00,202100,81.11,72.29,,,81.2,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
3200,2021,00,202100,72.45,72.29,,,71.19,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
3300,2021,00,202100,72.16,72.29,,,72.49,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
3400,2021,00,202100,80.22,72.29,,,79.74,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
3500,2021,00,202100,72.14,72.29,,,72.13,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
3600,2021,00,202100,72.72,72.29,,,73.3,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
5100,2021,00,202100,75.69,72.29,,,75.61,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
5200,2021,00,202100,68.65,72.29,,,69.61,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
5300,2021,00,202100,65.28,72.29,,,64.9,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
6100,2021,00,202100,67.9,72.29,,,68.69,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
6200,2021,00,202100,71.25,72.29,,,72.5,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
6300,2021,00,202100,71.28,72.29,,,71,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
6400,2021,00,202100,76.88,72.29,,,76.8,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
6500,2021,00,202100,71.19,72.29,,,71.4,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
7100,2021,00,202100,73.3,72.29,,,72,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
7200,2021,00,202100,69.79,72.29,,,69,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
7300,2021,00,202100,72.24,72.29,,,72.22,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
7400,2021,00,202100,71.66,72.29,,,71.5,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
7500,2021,00,202100,69,72.29,,,68.45,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
7600,2021,00,202100,66.36,72.29,,,67.11,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
8100,2021,00,202100,69.71,72.29,,,68.87,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
8200,2021,00,202100,68.76,72.29,,,69.72,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
9100,2021,00,202100,65.26,72.29,,,64.54,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
9400,2021,00,202100,60.62,72.29,,,63.28,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
