wilayah,tahun,periode,id_periode,nilai_struktur,nasional,nilai_pertumbuhan,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2019,01,201901,12.72,,,,,,2022-03-01,%,Badan Pusat Statistik,64,"Pertanian, Kehutanan, dan Perikanan"
1000,2019,01,201901,7.26,,,,,,2022-03-01,%,Badan Pusat Statistik,65,Pertambangan dan Penggalian
1000,2019,01,201901,19.70,,,,,,2022-03-01,%,Badan Pusat Statistik,66,Industri Pengolahan
1000,2019,01,201901,1.17,,,,,,2022-03-01,%,Badan Pusat Statistik,67,Pengadaan Listrik dan Gas
1000,2019,01,201901,0.07,,,,,,2022-03-01,%,Badan Pusat Statistik,68,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang"
1000,2019,01,201901,10.75,,,,,,2022-03-01,%,Badan Pusat Statistik,69,Konstruksi
1000,2019,01,201901,13.01,,,,,,2022-03-01,%,Badan Pusat Statistik,70,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor
1000,2019,01,201901,5.57,,,,,,2022-03-01,%,Badan Pusat Statistik,71,Transportasi dan Pergudangan
1000,2019,01,201901,2.78,,,,,,2022-03-01,%,Badan Pusat Statistik,72,Penyediaan Akomodasi dan Makan Minum
1000,2019,01,201901,3.96,,,,,,2022-03-01,%,Badan Pusat Statistik,73,Informasi dan Komunikasi
1000,2019,01,201901,4.24,,,,,,2022-03-01,%,Badan Pusat Statistik,74,Jasa Keuangan dan Asuransi
1000,2019,01,201901,2.77,,,,,,2022-03-01,%,Badan Pusat Statistik,75,Real Estat
1000,2019,01,201901,1.92,,,,,,2022-03-01,%,Badan Pusat Statistik,76,Jasa Perusahaan
1000,2019,01,201901,3.62,,,,,,2022-03-01,%,Badan Pusat Statistik,77,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib"
1000,2019,01,201901,3.30,,,,,,2022-03-01,%,Badan Pusat Statistik,78,Jasa Pendidikan
1000,2019,01,201901,1.10,,,,,,2022-03-01,%,Badan Pusat Statistik,79,Jasa Kesehatan dan Kegiatan Sosial
1000,2019,01,201901,1.95,,,,,,2022-03-01,%,Badan Pusat Statistik,80,Jasa Lainnya
1000,2019,01,201901,0,,,,,,2022-03-01,%,Badan Pusat Statistik,81,Produk Domestik Regional Bruto dengan migas
1000,2019,04,201904,12.65,,,,,,2022-03-01,%,Badan Pusat Statistik,64,"Pertanian, Kehutanan, dan Perikanan"
1000,2019,04,201904,7.77,,,,,,2022-03-01,%,Badan Pusat Statistik,65,Pertambangan dan Penggalian
1000,2019,04,201904,20.06,,,,,,2022-03-01,%,Badan Pusat Statistik,66,Industri Pengolahan
1000,2019,04,201904,1.17,,,,,,2022-03-01,%,Badan Pusat Statistik,67,Pengadaan Listrik dan Gas
1000,2019,04,201904,0.07,,,,,,2022-03-01,%,Badan Pusat Statistik,68,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang"
1000,2019,04,201904,10.75,,,,,,2022-03-01,%,Badan Pusat Statistik,69,Konstruksi
1000,2019,04,201904,13.19,,,,,,2022-03-01,%,Badan Pusat Statistik,70,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor
1000,2019,04,201904,5.53,,,,,,2022-03-01,%,Badan Pusat Statistik,71,Transportasi dan Pergudangan
1000,2019,04,201904,2.83,,,,,,2022-03-01,%,Badan Pusat Statistik,72,Penyediaan Akomodasi dan Makan Minum
1000,2019,04,201904,3.95,,,,,,2022-03-01,%,Badan Pusat Statistik,73,Informasi dan Komunikasi
1000,2019,04,201904,4.34,,,,,,2022-03-01,%,Badan Pusat Statistik,74,Jasa Keuangan dan Asuransi
1000,2019,04,201904,2.84,,,,,,2022-03-01,%,Badan Pusat Statistik,75,Real Estat
1000,2019,04,201904,1.90,,,,,,2022-03-01,%,Badan Pusat Statistik,76,Jasa Perusahaan
1000,2019,04,201904,3.56,,,,,,2022-03-01,%,Badan Pusat Statistik,77,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib"
1000,2019,04,201904,3.14,,,,,,2022-03-01,%,Badan Pusat Statistik,78,Jasa Pendidikan
1000,2019,04,201904,1.10,,,,,,2022-03-01,%,Badan Pusat Statistik,79,Jasa Kesehatan dan Kegiatan Sosial
1000,2019,04,201904,1.91,,,,,,2022-03-01,%,Badan Pusat Statistik,80,Jasa Lainnya
1000,2019,04,201904,,,,,,,2022-03-01,%,Badan Pusat Statistik,81,Produk Domestik Regional Bruto dengan migas
