wilayah;tahun;periode;id_periode;nilai;nasional;target RKP;target_makro_rpjmn ;target_rkpd;target_kewilayahan_rkp;versi;satuan;sumber;id_indikator;nama_indikator
1000;2021;0;202100;3,69;3,69;;5,4;;;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
1100;2021;0;202100;2,79;3,69;;4,7;3,5;3,9;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
1200;2021;0;202100;2,61;3,69;;6,4;5,5;3,9;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
1300;2021;0;202100;3,29;3,69;;5,5;5,92;3,9;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
1400;2021;0;202100;3,36;3,69;;4,3;1,8;3,9;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
1500;2021;0;202100;3,66;3,69;;5,4;3,77;3,9;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
1600;2021;0;202100;3,58;3,69;;6,7;5,7;3,9;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
1700;2021;0;202100;3,24;3,69;;5,7;4,4;3,9;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
1800;2021;0;202100;2,79;3,69;;5,9;5,5;3,9;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
1900;2021;0;202100;5,05;3,69;;4,6;3,25;3,9;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
2100;2021;0;202100;3,43;3,69;;5,8;4;3,9;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
3100;2021;0;202100;3,56;3,69;;6,1;6,9;4,8;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
3200;2021;0;202100;3,74;3,69;;5,5;3,15;4,8;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
3300;2021;0;202100;3,32;3,69;;5,8;3,8;4,8;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
3400;2021;0;202100;5,53;3,69;;6,4;3,29;4,8;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
3500;2021;0;202100;3,57;3,69;;5,8;4,07;4,8;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
3600;2021;0;202100;4,44;3,69;;5,5;5,2;4,8;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
5100;2021;0;202100;-2,47;3,69;;6,5;6,8;4,8;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
5200;2021;0;202100;2,3;3,69;;4,9;5,5;3,5;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
5300;2021;0;202100;2,51;3,69;;6,5;5,01;3,5;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
6100;2021;0;202100;4,78;3,69;;5,5;5,62;3,6;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
6200;2021;0;202100;3,4;3,69;;6,1;5,5;3,6;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
6300;2021;0;202100;3,48;3,69;;4,5;3,5;3,6;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
6400;2021;0;202100;2,48;3,69;;6,7;1;3,6;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
6500;2021;0;202100;3,98;3,69;;7,1;6,55;3,6;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
7100;2021;0;202100;4,16;3,69;;6,6;6,6;5,4;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
7200;2021;0;202100;11,7;3,69;;7,7;5,75;5,4;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
7300;2021;0;202100;4,65;3,69;;7,5;6,1;5,4;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
7400;2021;0;202100;4,1;3,69;;6,8;6;5,4;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
7500;2021;0;202100;2,41;3,69;;6,8;5,97;5,4;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
7600;2021;0;202100;2,56;3,69;;5,4;5,7;5,4;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
8100;2021;0;202100;3,04;3,69;;7;6,32;5,2;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
8200;2021;0;202100;16,4;3,69;;6,8;6,7;5,2;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
9100;2021;0;202100;-0,51;3,69;;6,5;7;2,6;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
9400;2021;0;202100;15,11;3,69;;5,8;5,91;2,6;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
1000;2022;0;202201;5,01;5,01;;;;;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
1100;2022;0;202201;3,24;5,01;;;3,5;;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
1200;2022;0;202201;3,9;5,01;;;5,5;;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
1300;2022;0;202201;3,64;5,01;;;5,92;;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
1400;2022;0;202201;4,72;5,01;;;1,8;;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
1500;2022;0;202201;4,64;5,01;;;3,77;;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
1600;2022;0;202201;5,15;5,01;;;5,7;;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
1700;2022;0;202201;3,03;5,01;;;4,4;;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
1800;2022;0;202201;2,96;5,01;;;5,5;;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
1900;2022;0;202201;3,26;5,01;;;3,25;;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
2100;2022;0;202201;2,83;5,01;;;4;;12/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
