wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2019,00,201900,59065349,59065349,,,,,2021-06-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1101,2019,00,201900,23726000,59065349,,,,,2021-06-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1102,2019,00,201900,19302000,59065349,,,,,2021-06-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1103,2019,00,201900,23015000,59065349,,,,,2021-06-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1104,2019,00,201900,22665000,59065349,,,,,2021-06-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1105,2019,00,201900,23575000,59065349,,,,,2021-06-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1106,2019,00,201900,35165000,59065349,,,,,2021-06-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1107,2019,00,201900,37953000,59065349,,,,,2021-06-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1108,2019,00,201900,31140000,59065349,,,,,2021-06-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1109,2019,00,201900,23707000,59065349,,,,,2021-06-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1110,2019,00,201900,27349000,59065349,,,,,2021-06-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1111,2019,00,201900,31780000,59065349,,,,,2021-06-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1112,2019,00,201900,25628000,59065349,,,,,2021-06-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1113,2019,00,201900,27723000,59065349,,,,,2021-06-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1114,2019,00,201900,25034000,59065349,,,,,2021-06-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1115,2019,00,201900,44333000,59065349,,,,,2021-06-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1116,2019,00,201900,27722000,59065349,,,,,2021-06-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1117,2019,00,201900,29851000,59065349,,,,,2021-06-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1118,2019,00,201900,21399000,59065349,,,,,2021-06-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1171,2019,00,201900,68693000,59065349,,,,,2021-06-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1172,2019,00,201900,43918000,59065349,,,,,2021-06-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1173,2019,00,201900,29615000,59065349,,,,,2021-06-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1174,2019,00,201900,42945000,59065349,,,,,2021-06-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1175,2019,00,201900,21211000,59065349,,,,,2021-06-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1201,2019,00,201900,27562000,59065349,,,,,2021-06-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1202,2019,00,201900,30282000,59065349,,,,,2021-06-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
