wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2020,03,202003,0.38,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1101,2020,03,202003,0.47,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1102,2020,03,202003,1.03,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1103,2020,03,202003,0.46,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1104,2020,03,202003,0.36,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1105,2020,03,202003,0.61,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1106,2020,03,202003,0.95,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1107,2020,03,202003,0.68,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1108,2020,03,202003,0.61,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1109,2020,03,202003,0.45,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1110,2020,03,202003,0.45,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1111,2020,03,202003,0.63,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1112,2020,03,202003,0.9,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1113,2020,03,202003,0.66,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1114,2020,03,202003,0.28,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1115,2020,03,202003,0.94,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1116,2020,03,202003,0.54,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1117,2020,03,202003,0.97,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1118,2020,03,202003,0.81,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1171,2020,03,202003,0.23,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1172,2020,03,202003,0.54,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1173,2020,03,202003,0.36,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1174,2020,03,202003,0.29,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1175,2020,03,202003,0.44,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1201,2020,03,202003,0.32,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1202,2020,03,202003,0.19,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1203,2020,03,202003,0.16,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1204,2020,03,202003,0.44,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1205,2020,03,202003,0.21,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1206,2020,03,202003,0.18,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1207,2020,03,202003,0.18,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1208,2020,03,202003,0.33,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1209,2020,03,202003,0.35,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1210,2020,03,202003,0.2,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1211,2020,03,202003,0.38,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1212,2020,03,202003,0.16,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1213,2020,03,202003,0.33,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1214,2020,03,202003,0.76,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1215,2020,03,202003,0.3,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1216,2020,03,202003,0.38,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1217,2020,03,202003,0.46,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1218,2020,03,202003,0.2,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1219,2020,03,202003,0.37,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1220,2020,03,202003,0.22,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1221,2020,03,202003,0.29,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1222,2020,03,202003,0.2,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1223,2020,03,202003,0.6,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1224,2020,03,202003,0.97,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1225,2020,03,202003,0.61,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1271,2020,03,202003,0.26,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1272,2020,03,202003,0.32,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1273,2020,03,202003,0.26,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1274,2020,03,202003,0.56,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1275,2020,03,202003,0.23,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1276,2020,03,202003,0.11,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1277,2020,03,202003,0.32,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1278,2020,03,202003,0.3,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1301,2020,03,202003,0.77,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1302,2020,03,202003,0.14,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1303,2020,03,202003,0.35,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1304,2020,03,202003,0.27,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1305,2020,03,202003,0.06,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1306,2020,03,202003,0.11,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1307,2020,03,202003,0.17,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1308,2020,03,202003,0.14,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1309,2020,03,202003,0.11,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1310,2020,03,202003,0.15,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1311,2020,03,202003,0.13,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1312,2020,03,202003,0.09,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1371,2020,03,202003,0.09,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1372,2020,03,202003,0.04,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1373,2020,03,202003,0,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1374,2020,03,202003,0.08,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1375,2020,03,202003,0.2,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1376,2020,03,202003,0.14,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1377,2020,03,202003,0.1,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1401,2020,03,202003,0.32,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1402,2020,03,202003,0.17,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1403,2020,03,202003,0.27,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1404,2020,03,202003,0.31,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1405,2020,03,202003,0.45,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1406,2020,03,202003,0.13,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1407,2020,03,202003,0.57,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1408,2020,03,202003,0.14,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1409,2020,03,202003,0.3,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1410,2020,03,202003,1.11,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1471,2020,03,202003,0.13,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1473,2020,03,202003,0.05,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1501,2020,03,202003,0.21,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1502,2020,03,202003,0.21,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1503,2020,03,202003,0.21,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1504,2020,03,202003,0.27,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1505,2020,03,202003,0.05,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1506,2020,03,202003,0.31,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1507,2020,03,202003,0.38,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1508,2020,03,202003,0.14,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1509,2020,03,202003,0.17,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1571,2020,03,202003,0.4,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1572,2020,03,202003,0.17,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1601,2020,03,202003,0.4,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1602,2020,03,202003,0.86,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1603,2020,03,202003,0.43,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1604,2020,03,202003,0.67,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1605,2020,03,202003,0.45,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1606,2020,03,202003,1.11,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1607,2020,03,202003,0.18,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1608,2020,03,202003,0.23,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1609,2020,03,202003,0.14,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1610,2020,03,202003,0.53,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1611,2020,03,202003,0.49,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
1612,2020,03,202003,0.23,0.38,,,,,2020-07-15,%,Badan Pusat Statistik,38,ind1_keparahan
