wilayah,tahun,periode,id_periode,nilai,nasional,target,versi,satuan,sumber,id_indikator,nama_indikator
1000,2015,03,201503,0.53,0.53,,2015-09-15,%,Badan Pusat Statistik,38,ind1_keparahan
1100,2015,03,201503,0.83,0.53,,2015-09-15,%,Badan Pusat Statistik,38,ind1_keparahan
1200,2015,03,201503,0.42,0.53,,2015-09-15,%,Badan Pusat Statistik,38,ind1_keparahan
1300,2015,03,201503,0.21,0.53,,2015-09-15,%,Badan Pusat Statistik,38,ind1_keparahan
1400,2015,03,201503,0.36,0.53,,2015-09-15,%,Badan Pusat Statistik,38,ind1_keparahan
1500,2015,03,201503,0.35,0.53,,2015-09-15,%,Badan Pusat Statistik,38,ind1_keparahan
1600,2015,03,201503,0.64,0.53,,2015-09-15,%,Badan Pusat Statistik,38,ind1_keparahan
1700,2015,03,201503,0.97,0.53,,2015-09-15,%,Badan Pusat Statistik,38,ind1_keparahan
1800,2015,03,201503,0.59,0.53,,2015-09-15,%,Badan Pusat Statistik,38,ind1_keparahan
1900,2015,03,201503,0.14,0.53,,2015-09-15,%,Badan Pusat Statistik,38,ind1_keparahan
2100,2015,03,201503,0.25,0.53,,2015-09-15,%,Badan Pusat Statistik,38,ind1_keparahan
3100,2015,03,201503,0.1,0.53,,2015-09-15,%,Badan Pusat Statistik,38,ind1_keparahan
3200,2015,03,201503,0.43,0.53,,2015-09-15,%,Badan Pusat Statistik,38,ind1_keparahan
3300,2015,03,201503,0.65,0.53,,2015-09-15,%,Badan Pusat Statistik,38,ind1_keparahan
3400,2015,03,201503,0.83,0.53,,2015-09-15,%,Badan Pusat Statistik,38,ind1_keparahan
3500,2015,03,201503,0.52,0.53,,2015-09-15,%,Badan Pusat Statistik,38,ind1_keparahan
3600,2015,03,201503,0.23,0.53,,2015-09-15,%,Badan Pusat Statistik,38,ind1_keparahan
5100,2015,03,201503,0.14,0.53,,2015-09-15,%,Badan Pusat Statistik,38,ind1_keparahan
5200,2015,03,201503,0.91,0.53,,2015-09-15,%,Badan Pusat Statistik,38,ind1_keparahan
5300,2015,03,201503,1.07,0.53,,2015-09-15,%,Badan Pusat Statistik,38,ind1_keparahan
6100,2015,03,201503,0.32,0.53,,2015-09-15,%,Badan Pusat Statistik,38,ind1_keparahan
6200,2015,03,201503,0.21,0.53,,2015-09-15,%,Badan Pusat Statistik,38,ind1_keparahan
6300,2015,03,201503,0.18,0.53,,2015-09-15,%,Badan Pusat Statistik,38,ind1_keparahan
6400,2015,03,201503,0.22,0.53,,2015-09-15,%,Badan Pusat Statistik,38,ind1_keparahan
6500,2015,03,201503,0.18,0.53,,2015-09-15,%,Badan Pusat Statistik,38,ind1_keparahan
7100,2015,03,201503,0.33,0.53,,2015-09-15,%,Badan Pusat Statistik,38,ind1_keparahan
