wilayah,tahun,periode,id_periode,nilai,nasional,target RKP,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2022,00,202200,5.31,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1100,2022,00,202200,4.21,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1200,2022,00,202200,4.73,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1300,2022,00,202200,4.36,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1400,2022,00,202200,4.55,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1500,2022,00,202200,5.13,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1600,2022,00,202200,5.23,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1700,2022,00,202200,4.31,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1800,2022,00,202200,4.28,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1900,2022,00,202200,4.4,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
2100,2022,00,202200,5.09,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
3100,2022,00,202200,5.25,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
3200,2022,00,202200,5.45,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
3300,2022,00,202200,5.31,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
3400,2022,00,202200,5.15,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
3500,2022,00,202200,5.34,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
3600,2022,00,202200,5.03,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
5100,2022,00,202200,4.84,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
5200,2022,00,202200,6.95,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
5300,2022,00,202200,3.05,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
6100,2022,00,202200,5.07,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
6200,2022,00,202200,6.45,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
6300,2022,00,202200,5.11,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
6400,2022,00,202200,4.48,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
6500,2022,00,202200,5.34,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
7100,2022,00,202200,5.42,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
7200,2022,00,202200,15.17,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
7300,2022,00,202200,5.09,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
7400,2022,00,202200,5.53,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
7500,2022,00,202200,4.04,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
7600,2022,00,202200,2.3,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
8100,2022,00,202200,5.11,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
8200,2022,00,202200,22.94,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
9100,2022,00,202200,2.01,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
9400,2022,00,202200,8.97,5.31,,,,,2023-02-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1000,2022,00,202200,71030850,71030850,,,,,2023-02-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1100,2022,00,202200,39160000,71030850,,,,,2023-02-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1200,2022,00,202200,63194183,71030850,,,,,2023-02-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1300,2022,00,202200,50593407,71030850,,,,,2023-02-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1400,2022,00,202200,149910000,71030850,,,,,2023-02-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1500,2022,00,202200,76100000,71030850,,,,,2023-02-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1600,2022,00,202200,68340000,71030850,,,,,2023-02-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1700,2022,00,202200,43740000,71030850,,,,,2023-02-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1800,2022,00,202200,45129335,71030850,,,,,2023-02-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1900,2022,00,202200,63752237,71030850,,,,,2023-02-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
2100,2022,00,202200,141680000,71030850,,,,,2023-02-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
3100,2022,00,202200,298360000,71030850,,,,,2023-02-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
3200,2022,00,202200,49038411.03,71030850,,,,,2023-02-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
