wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2021,00,202100,9.59,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1100,2021,00,202100,9.37,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1200,2021,00,202100,9.48,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1300,2021,00,202100,8.68,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1400,2021,00,202100,8.88,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1500,2021,00,202100,9.67,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1600,2021,00,202100,8.21,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1700,2021,00,202100,9.86,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1800,2021,00,202100,9.55,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1900,2021,00,202100,10.33,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
2100,2021,00,202100,9,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
3100,2021,00,202100,9.29,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
3200,2021,00,202100,8.64,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
3300,2021,00,202100,8.67,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
3400,2021,00,202100,8.4,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
3500,2021,00,202100,8.91,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
3600,2021,00,202100,8.69,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
5100,2021,00,202100,8.71,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
5200,2021,00,202100,10,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
5300,2021,00,202100,9.34,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
6100,2021,00,202100,12.83,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
6200,2021,00,202100,11.18,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
6300,2021,00,202100,11.12,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
6400,2021,00,202100,11.11,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
6500,2021,00,202100,8.03,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
7100,2021,00,202100,9.58,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
7200,2021,00,202100,5.64,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
7300,2021,00,202100,8.63,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
7400,2021,00,202100,9.29,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
7500,2021,00,202100,8.84,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
7600,2021,00,202100,9.99,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
8100,2021,00,202100,10.57,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
8200,2021,00,202100,9.25,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
9100,2021,00,202100,8.8,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
9400,2021,00,202100,9.61,9.59,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
