wilayah,tahun,periode,id_periode,nilai,nasional,target,versi,satuan,sumber,id_indikator,nama_indikator,
1000,2020,00,202000,-2.07,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,<-- Contoh
1100,2020,00,202000,-0.37,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
1200,2020,00,202000,-1.07,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
1300,2020,00,202000,-1.6,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
1400,2020,00,202000,-1.12,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
1500,2020,00,202000,-0.46,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
1600,2020,00,202000,-0.11,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
1700,2020,00,202000,-0.02,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
1800,2020,00,202000,-1.67,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
1900,2020,00,202000,-2.3,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
2100,2020,00,202000,-3.8,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
3100,2020,00,202000,-2.36,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
3200,2020,00,202000,-2.44,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
3300,2020,00,202000,-2.65,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
3400,2020,00,202000,-2.69,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
3500,2020,00,202000,-2.39,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
3600,2020,00,202000,-3.38,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
5100,2020,00,202000,-9.31,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
5200,2020,00,202000,-0.64,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
5300,2020,00,202000,-0.83,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
6100,2020,00,202000,-1.82,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
6200,2020,00,202000,-1.4,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
6300,2020,00,202000,-1.81,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
6400,2020,00,202000,-2.85,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
6500,2020,00,202000,-1.11,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
7100,2020,00,202000,-0.99,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
7200,2020,00,202000,4.86,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
7300,2020,00,202000,-0.7,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
7400,2020,00,202000,-0.65,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
7500,2020,00,202000,-0.02,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
7600,2020,00,202000,-2.42,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
8100,2020,00,202000,-0.92,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
8200,2020,00,202000,4.92,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
9100,2020,00,202000,-0.77,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
9400,2020,00,202000,2.32,-2.07,,2021-02-05,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi,
