wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2021,00,202100,8.54,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1100,2021,00,202100,9.37,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1200,2021,00,202100,9.58,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1300,2021,00,202100,9.07,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1400,2021,00,202100,9.19,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1500,2021,00,202100,8.6,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1600,2021,00,202100,8.3,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1700,2021,00,202100,8.87,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1800,2021,00,202100,8.08,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1900,2021,00,202100,8.08,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
2100,2021,00,202100,10.18,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
3100,2021,00,202100,11.17,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
3200,2021,00,202100,8.61,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
3300,2021,00,202100,7.75,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
3400,2021,00,202100,9.64,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
3500,2021,00,202100,7.88,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
3600,2021,00,202100,8.93,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
5100,2021,00,202100,9.06,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
5200,2021,00,202100,7.38,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
5300,2021,00,202100,7.69,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
6100,2021,00,202100,7.45,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
6200,2021,00,202100,8.64,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
6300,2021,00,202100,8.34,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
6400,2021,00,202100,9.84,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
6500,2021,00,202100,9.11,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
7100,2021,00,202100,9.62,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
7200,2021,00,202100,8.89,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
7300,2021,00,202100,8.46,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
7400,2021,00,202100,9.13,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
7500,2021,00,202100,7.9,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
7600,2021,00,202100,7.96,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
8100,2021,00,202100,10.03,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
8200,2021,00,202100,9.09,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
9100,2021,00,202100,7.69,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
9400,2021,00,202100,6.76,8.54,,,,,2021-11-15,Tahun,Badan Pusat Statistik,9,ind1_rls
