wilayah,tahun,periode,id_periode,nilai,nasional,target,versi,satuan,sumber,id_indikator,nama_indikator
1000,2020,09,202009,0.385,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
1100,2020,09,202009,0.319,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
1200,2020,09,202009,0.314,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
1300,2020,09,202009,0.301,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
1400,2020,09,202009,0.321,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
1500,2020,09,202009,0.316,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
1600,2020,09,202009,0.338,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
1700,2020,09,202009,0.323,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
1800,2020,09,202009,0.32,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
1900,2020,09,202009,0.257,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
2100,2020,09,202009,0.334,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
3100,2020,09,202009,0.4,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
3200,2020,09,202009,0.398,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
3300,2020,09,202009,0.359,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
3400,2020,09,202009,0.437,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
3500,2020,09,202009,0.364,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
3600,2020,09,202009,0.365,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
5100,2020,09,202009,0.369,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
5200,2020,09,202009,0.386,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
5300,2020,09,202009,0.356,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
6100,2020,09,202009,0.325,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
6200,2020,09,202009,0.32,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
6300,2020,09,202009,0.351,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
6400,2020,09,202009,0.335,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
6500,2020,09,202009,0.3,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
7100,2020,09,202009,0.368,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
7200,2020,09,202009,0.321,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
7300,2020,09,202009,0.382,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
7400,2020,09,202009,0.388,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
7500,2020,09,202009,0.406,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
7600,2020,09,202009,0.356,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
8100,2020,09,202009,0.326,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
8200,2020,09,202009,0.29,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
9100,2020,09,202009,0.376,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
9400,2020,09,202009,0.395,0.385,,2021-02-15,,Badan Pusat Statistik,7,ind1_ginirasio
