wilayah,tahun,periode,id_periode,nilai,nasional,target RKP,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2021,00,202100,-0.74,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1100,2021,00,202100,-1.95,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1200,2021,00,202100,-1.85,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1300,2021,00,202100,-0.16,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1400,2021,00,202100,0.41,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1500,2021,00,202100,-0.33,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1600,2021,00,202100,-0.41,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1700,2021,00,202100,-1.58,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1800,2021,00,202100,-2.1,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1900,2021,00,202100,0.97,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
2100,2021,00,202100,-1.19,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
3100,2021,00,202100,-1.65,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
3200,2021,00,202100,-0.83,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
3300,2021,00,202100,-0.87,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
3400,2021,00,202100,6.14,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
3500,2021,00,202100,-0.44,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
3600,2021,00,202100,-0.39,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
5100,2021,00,202100,-9.85,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
5200,2021,00,202100,-1.13,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
5300,2021,00,202100,0.12,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
6100,2021,00,202100,-0.1,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
6200,2021,00,202100,-3.12,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
6300,2021,00,202100,-1.25,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
6400,2021,00,202100,-2.96,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
6500,2021,00,202100,-1.91,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
7100,2021,00,202100,1.87,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
7200,2021,00,202100,6.26,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
7300,2021,00,202100,-0.21,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
7400,2021,00,202100,0.06,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
7500,2021,00,202100,-1.98,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
7600,2021,00,202100,-1.2,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
8100,2021,00,202100,-1.88,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
8200,2021,00,202100,13.45,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
9100,2021,00,202100,1.47,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
9400,2021,00,202100,14.28,-0.74,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1000,2021,00,202100,3.1,3.1,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1100,2021,00,202100,0.32,3.1,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1200,2021,00,202100,1.46,3.1,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1300,2021,00,202100,2.72,3.1,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1400,2021,00,202100,2.72,3.1,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1500,2021,00,202100,2.52,3.1,,,,,2021-11-29,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
