wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2020,08,202008,7.07,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1101,2020,08,202008,5.47,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1102,2020,08,202008,8.24,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1103,2020,08,202008,6.54,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1104,2020,08,202008,5.72,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1105,2020,08,202008,7.26,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1106,2020,08,202008,3.05,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1107,2020,08,202008,7.3,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1108,2020,08,202008,7.62,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1109,2020,08,202008,6.45,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1110,2020,08,202008,4.12,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1111,2020,08,202008,8.56,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1112,2020,08,202008,3.93,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1113,2020,08,202008,2.01,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1114,2020,08,202008,7.97,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1115,2020,08,202008,5.11,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1116,2020,08,202008,4.08,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1117,2020,08,202008,1.35,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1118,2020,08,202008,6.58,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1171,2020,08,202008,9.54,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1172,2020,08,202008,4.81,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1173,2020,08,202008,9.75,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1174,2020,08,202008,11.99,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1175,2020,08,202008,6.93,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1201,2020,08,202008,3.49,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1202,2020,08,202008,6.5,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1203,2020,08,202008,4.42,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1204,2020,08,202008,7.54,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1205,2020,08,202008,2.94,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1206,2020,08,202008,2.5,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1207,2020,08,202008,6.05,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1208,2020,08,202008,7.24,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1209,2020,08,202008,4.58,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1210,2020,08,202008,1.75,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1211,2020,08,202008,1.83,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1212,2020,08,202008,9.5,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1213,2020,08,202008,7.02,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1214,2020,08,202008,4.15,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1215,2020,08,202008,0.84,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1216,2020,08,202008,1.93,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1217,2020,08,202008,1.2,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1218,2020,08,202008,5.54,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1219,2020,08,202008,6.48,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1220,2020,08,202008,3.11,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1221,2020,08,202008,4.11,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1222,2020,08,202008,4.9,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1223,2020,08,202008,6.82,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1224,2020,08,202008,4.54,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1225,2020,08,202008,1.71,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1271,2020,08,202008,8,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1272,2020,08,202008,6.97,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1273,2020,08,202008,11.5,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1274,2020,08,202008,9.98,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1275,2020,08,202008,10.74,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1276,2020,08,202008,8.67,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1277,2020,08,202008,7.45,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1278,2020,08,202008,5.94,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1301,2020,08,202008,3.98,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1302,2020,08,202008,7,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1303,2020,08,202008,4.65,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1304,2020,08,202008,5.3,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1305,2020,08,202008,4.79,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1306,2020,08,202008,8.13,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1307,2020,08,202008,4.61,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1308,2020,08,202008,3.03,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1309,2020,08,202008,5.04,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1310,2020,08,202008,5.62,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1311,2020,08,202008,5.31,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1312,2020,08,202008,4.69,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1371,2020,08,202008,13.64,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1372,2020,08,202008,8.35,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1373,2020,08,202008,8.2,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1374,2020,08,202008,7.22,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1375,2020,08,202008,7.51,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1376,2020,08,202008,6.68,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1377,2020,08,202008,5.73,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1401,2020,08,202008,5.21,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1402,2020,08,202008,4.91,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1403,2020,08,202008,4.35,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1404,2020,08,202008,5.99,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1405,2020,08,202008,5.8,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1406,2020,08,202008,6.15,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1407,2020,08,202008,4.42,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1408,2020,08,202008,9.31,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1409,2020,08,202008,4.8,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1410,2020,08,202008,7.94,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1471,2020,08,202008,8.56,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1473,2020,08,202008,8.19,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1501,2020,08,202008,2.43,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1502,2020,08,202008,4.68,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1503,2020,08,202008,5.71,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1504,2020,08,202008,4.42,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1505,2020,08,202008,5.43,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1506,2020,08,202008,1.41,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1507,2020,08,202008,2.16,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1508,2020,08,202008,2.95,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1509,2020,08,202008,5.94,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1571,2020,08,202008,10.49,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1572,2020,08,202008,5.56,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1601,2020,08,202008,70.5,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1602,2020,08,202008,65.25,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1603,2020,08,202008,68.45,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1604,2020,08,202008,71.79,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1605,2020,08,202008,71.8,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1606,2020,08,202008,70.61,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1607,2020,08,202008,64.1,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1608,2020,08,202008,71.47,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1609,2020,08,202008,71.7,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1610,2020,08,202008,70.02,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1611,2020,08,202008,75.89,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1612,2020,08,202008,77.7,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1613,2020,08,202008,71.87,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1671,2020,08,202008,65.41,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1672,2020,08,202008,69.4,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1673,2020,08,202008,66.35,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1674,2020,08,202008,70.25,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1701,2020,08,202008,3.52,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1702,2020,08,202008,3.7,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1703,2020,08,202008,3.82,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1704,2020,08,202008,2.73,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1705,2020,08,202008,3.04,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1706,2020,08,202008,3.59,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1707,2020,08,202008,3.92,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1708,2020,08,202008,2.52,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1709,2020,08,202008,4.45,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1771,2020,08,202008,6.82,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1801,2020,08,202008,2.13,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1802,2020,08,202008,2.96,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1803,2020,08,202008,5.19,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1804,2020,08,202008,2.64,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1805,2020,08,202008,4.22,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1806,2020,08,202008,5.34,7.07,,,,,2020-11-05,%,Badan Pusat Statistik,6,ind1_tpt
