wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator,
1000,2015,03,201503,0.53,0.53,,,,,2015-10-21,%,Badan Pusat Statistik,38,ind1_keparahan,
1101,2015,03,201503,0.64,0.53,,,,,2015-10-21,%,Badan Pusat Statistik,38,ind1_keparahan,
1102,2015,03,201503,1.84,0.53,,,,,2015-10-21,%,Badan Pusat Statistik,38,ind1_keparahan,
1103,2015,03,201503,0.42,0.53,,,,,2015-10-21,%,Badan Pusat Statistik,38,ind1_keparahan,
1104,2015,03,201503,0.83,0.53,,,,,2015-10-21,%,Badan Pusat Statistik,38,ind1_keparahan,
1105,2015,03,201503,0.59,0.53,,,,,2015-10-21,%,Badan Pusat Statistik,38,ind1_keparahan,
1106,2015,03,201503,0.60,0.53,,,,,2015-10-21,%,Badan Pusat Statistik,38,ind1_keparahan,
1107,2015,03,201503,1.38,0.53,,,,,2015-10-21,%,Badan Pusat Statistik,38,ind1_keparahan,
1108,2015,03,201503,0.55,0.53,,,,,2015-10-21,%,Badan Pusat Statistik,38,ind1_keparahan,
1109,2015,03,201503,1.41,0.53,,,,,2015-10-21,%,Badan Pusat Statistik,38,ind1_keparahan,
1110,2015,03,201503,0.47,0.53,,,,,2015-10-21,%,Badan Pusat Statistik,38,ind1_keparahan,
1111,2015,03,201503,0.82,0.53,,,,,2015-10-21,%,Badan Pusat Statistik,38,ind1_keparahan,
1112,2015,03,201503,0.61,0.53,,,,,2015-10-21,%,Badan Pusat Statistik,38,ind1_keparahan,
1113,2015,03,201503,1.07,0.53,,,,,2015-10-21,%,Badan Pusat Statistik,38,ind1_keparahan,
1114,2015,03,201503,0.44,0.53,,,,,2015-10-21,%,Badan Pusat Statistik,38,ind1_keparahan,
1115,2015,03,201503,1.06,0.53,,,,,2015-10-21,%,Badan Pusat Statistik,38,ind1_keparahan,
1116,2015,03,201503,0.55,0.53,,,,,2015-10-21,%,Badan Pusat Statistik,38,ind1_keparahan,
1117,2015,03,201503,0.83,0.53,,,,,2015-10-21,%,Badan Pusat Statistik,38,ind1_keparahan,
1118,2015,03,201503,1.06,0.53,,,,,2015-10-21,%,Badan Pusat Statistik,38,ind1_keparahan,
1171,2015,03,201503,0.50,0.53,,,,,2015-10-21,%,Badan Pusat Statistik,38,ind1_keparahan,
1172,2015,03,201503,0.85,0.53,,,,,2015-10-21,%,Badan Pusat Statistik,38,ind1_keparahan,
1173,2015,03,201503,0.57,0.53,,,,,2015-10-21,%,Badan Pusat Statistik,38,ind1_keparahan,
1174,2015,03,201503,0.62,0.53,,,,,2015-10-21,%,Badan Pusat Statistik,38,ind1_keparahan,
1175,2015,03,201503,0.91,0.53,,,,,2015-10-21,%,Badan Pusat Statistik,38,ind1_keparahan,
1201,2015,03,201503,1.01,0.53,,,,,2015-10-21,%,Badan Pusat Statistik,38,ind1_keparahan,
1202,2015,03,201503,0.30,0.53,,,,,2015-10-21,%,Badan Pusat Statistik,38,ind1_keparahan,
1203,2015,03,201503,0.22,0.53,,,,,2015-10-21,%,Badan Pusat Statistik,38,ind1_keparahan,
1204,2015,03,201503,0.45,0.53,,,,,2015-10-21,%,Badan Pusat Statistik,38,ind1_keparahan,
1205,2015,03,201503,0.35,0.53,,,,,2015-10-21,%,Badan Pusat Statistik,38,ind1_keparahan,
1206,2015,03,201503,0.21,0.53,,,,,2015-10-21,%,Badan Pusat Statistik,38,ind1_keparahan,
1207,2015,03,201503,0.20,0.53,,,,,2015-10-21,%,Badan Pusat Statistik,38,ind1_keparahan,
1208,2015,03,201503,0.36,0.53,,,,,2015-10-21,%,Badan Pusat Statistik,38,ind1_keparahan,
