wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2021,08,202108,6.49,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1101,2021,08,202108,5.71,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1102,2021,08,202108,8.36,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1103,2021,08,202108,6.46,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1104,2021,08,202108,6.43,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1105,2021,08,202108,7.13,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1106,2021,08,202108,2.61,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1107,2021,08,202108,7.09,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1108,2021,08,202108,7.70,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1109,2021,08,202108,7.28,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1110,2021,08,202108,4.32,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1111,2021,08,202108,8.31,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1112,2021,08,202108,4.04,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1113,2021,08,202108,1.84,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1114,2021,08,202108,5.87,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1115,2021,08,202108,4.99,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1116,2021,08,202108,3.47,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1117,2021,08,202108,1.24,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1118,2021,08,202108,3.57,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1171,2021,08,202108,8.94,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1172,2021,08,202108,3.56,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1173,2021,08,202108,7.21,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1174,2021,08,202108,11.16,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1175,2021,08,202108,6.26,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1201,2021,08,202108,3.12,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1202,2021,08,202108,6.12,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1203,2021,08,202108,4.00,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1204,2021,08,202108,7.24,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1205,2021,08,202108,1.54,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1206,2021,08,202108,0.83,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1207,2021,08,202108,5.66,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1208,2021,08,202108,6.39,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1209,2021,08,202108,4.17,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1210,2021,08,202108,1.49,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1211,2021,08,202108,1.95,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
1212,2021,08,202108,9.13,6.49,,,,,2022-01-11,%,Badan Pusat Statistik,6,ind1_tpt
