wilayah,tahun,periode,id_periode,nilai,nasional,target RKP,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2022,02,202202,8402153,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1100,2022,02,202202,150176,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1200,2022,02,202202,423376,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1300,2022,02,202202,177215,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1400,2022,02,202202,138508,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1500,2022,02,202202,86932,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1600,2022,02,202202,208636,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1700,2022,02,202202,37010,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1800,2022,02,202202,214268,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1900,2022,02,202202,32954,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
2100,2022,02,202202,84793,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3100,2022,02,202202,410585,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3200,2022,02,202202,2072116,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3300,2022,02,202202,1192980,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3400,2022,02,202202,83481,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3500,2022,02,202202,1107811,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3600,2022,02,202202,504257,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
5100,2022,02,202202,129779,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
5200,2022,02,202202,109076,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
5300,2022,02,202202,93292,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
6100,2022,02,202202,139363,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
6200,2022,02,202202,57695,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
6300,2022,02,202202,89470,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
6400,2022,02,202202,129486,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
6500,2022,02,202202,16174,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
7100,2022,02,202202,82596,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
7200,2022,02,202202,58256,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
7300,2022,02,202202,264210,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
7400,2022,02,202202,49398,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
7500,2022,02,202202,19781,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
7600,2022,02,202202,22282,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
8100,2022,02,202202,56434,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
8200,2022,02,202202,31615,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
9100,2022,02,202202,35086,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
9400,2022,02,202202,93062,8402153,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1000,2022,08,202208,8425931,8425931,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1100,2022,08,202208,157568,8425931,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1200,2022,08,202208,472496,8425931,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1300,2022,08,202208,180106,8425931,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1400,2022,08,202208,144889,8425931,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1500,2022,08,202208,86459,8425931,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1600,2022,08,202208,208256,8425931,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1700,2022,08,202208,38619,8425931,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1800,2022,08,202208,207965,8425931,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1900,2022,08,202208,36631,8425931,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
2100,2022,08,202208,103715,8425931,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3100,2022,08,202208,377294,8425931,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3200,2022,08,202208,2125606,8425931,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3300,2022,08,202208,1084475,8425931,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3400,2022,08,202208,94945,8425931,,,,,2022-12-16,Orang,Badan Pusat Statistik,4,ind1_pengangguran
