wilayah,tahun,periode,id_periode,nilai,nasional,target,versi,satuan,sumber,id_indikator,nama_indikator
1000,2020,08,202008,7.07,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
1100,2020,08,202008,6.59,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
1200,2020,08,202008,6.91,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
1300,2020,08,202008,6.88,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
1400,2020,08,202008,6.32,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
1500,2020,08,202008,5.13,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
1600,2020,08,202008,5.51,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
1700,2020,08,202008,4.07,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
1800,2020,08,202008,4.67,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
1900,2020,08,202008,5.25,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
2100,2020,08,202008,10.34,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
3100,2020,08,202008,10.95,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
3200,2020,08,202008,10.46,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
3300,2020,08,202008,6.48,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
3400,2020,08,202008,4.57,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
3500,2020,08,202008,5.84,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
3600,2020,08,202008,10.64,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
5100,2020,08,202008,5.63,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
5200,2020,08,202008,4.22,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
5300,2020,08,202008,4.28,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
6100,2020,08,202008,5.81,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
6200,2020,08,202008,4.58,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
6300,2020,08,202008,4.74,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
6400,2020,08,202008,6.87,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
6500,2020,08,202008,4.97,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
7100,2020,08,202008,7.37,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
7200,2020,08,202008,3.77,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
7300,2020,08,202008,6.31,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
7400,2020,08,202008,4.58,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
7500,2020,08,202008,4.28,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
7600,2020,08,202008,3.32,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
8100,2020,08,202008,7.57,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
8200,2020,08,202008,5.15,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
9100,2020,08,202008,6.8,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
9400,2020,08,202008,4.28,7.07,,2020-11-30,%,Badan Pusat Statistik,6,ind1_tpt
