wilayah,tahun,periode,id_periode,nilai,nasional,target,versi,satuan,sumber,id_indikator,nama_indikator,
1000,2020,0,202000,56940000,56940000,,2021-02-05,Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,"kolom nama_indikator digunakan untuk konsistensi, agar tidak salah entri id_indikator"
1100,2020,0,202000,30470000,56940000,,2021-02-05,Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
1200,2020,0,202000,55180000,56940000,,2021-02-05,Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
1300,2020,0,202000,44030000,56940000,,2021-02-05,Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
1400,2020,0,202000,114037648,56940000,,2021-02-05,Rupiah,"diolah, dit PEPPD",2,ind1_pdrbkapita_adhb,
1500,2020,0,202000,56240000,56940000,,2021-02-05,Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
1600,2020,0,202000,53510000,56940000,,2021-02-05,Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
1700,2020,0,202000,36310000,56940000,,2021-02-05,Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
1800,2020,0,202000,41620000,56940000,,2021-02-05,Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
1900,2020,0,202000,49770000,56940000,,2021-02-15,Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
2100,2020,0,202000,123151079,56940000,,2021-02-15,Rupiah,"diolah, dit PEPPD",2,ind1_pdrbkapita_adhb,
3100,2020,0,202000,260440000,56940000,,2021-02-15,Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
3200,2020,0,202000,41814420,56940000,,2021-02-15,Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
3300,2020,0,202000,38600000,56940000,,2021-02-15,Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
3400,2020,0,202000,37720000,56940000,,2021-02-15,Rupiah,"diolah, dit PEPPD",2,ind1_pdrbkapita_adhb,
3500,2020,0,202000,56550000,56940000,,2021-02-15,Rupiah,"diolah, dit PEPPD",2,ind1_pdrbkapita_adhb,
3600,2020,0,202000,47600000,56940000,,2021-02-15,Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
5100,2020,0,202000,51932622,56940000,,2021-02-15,Rupiah,"diolah, dit PEPPD",2,ind1_pdrbkapita_adhb,
5200,2020,0,202000,25097642,56940000,,2021-02-15,Rupiah,"diolah, dit PEPPD",2,ind1_pdrbkapita_adhb,
5300,2020,0,202000,19999025,56940000,,2021-02-15,Rupiah,"diolah, dit PEPPD",2,ind1_pdrbkapita_adhb,
6100,2020,0,202000,41677070,56940000,,2021-02-15,Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
6200,2020,0,202000,57001002,56940000,,2021-02-15,Rupiah,"diolah, dit PEPPD",2,ind1_pdrbkapita_adhb,
6300,2020,0,202000,43978745,56940000,,2021-02-05,Rupiah,"diolah, dit PEPPD",2,ind1_pdrbkapita_adhb,
6400,2020,0,202000,161262477,56940000,,2021-02-05,Rupiah,"diolah, dit PEPPD",2,ind1_pdrbkapita_adhb,
6500,2020,0,202000,130830000,56940000,,2021-02-05,Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
7100,2020,0,202000,52320000,56940000,,2021-02-05,Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
7200,2020,0,202000,63750000,56940000,,2021-02-05,Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
7300,2020,0,202000,56510000,56940000,,2021-02-05,Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
7400,2020,0,202000,49596295,56940000,,2021-02-05,Rupiah,"diolah, dit PEPPD",2,ind1_pdrbkapita_adhb,
7500,2020,0,202000,34213450,56940000,,2021-02-05,Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
7600,2020,0,202000,33310000,56940000,,2021-02-05,Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
8100,2020,0,202000,25022025,56940000,,2021-02-05,Rupiah,"diolah, dit PEPPD",2,ind1_pdrbkapita_adhb,
8200,2020,0,202000,32848253,56940000,,2021-02-05,Rupiah,"diolah, dit PEPPD",2,ind1_pdrbkapita_adhb,
9100,2020,0,202000,85110000,56940000,,2021-02-05,Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
9400,2020,0,202000,46222685,56940000,,2021-02-05,Rupiah,"diolah, dit PEPPD",2,ind1_pdrbkapita_adhb,
