wilayah,tahun,periode,id_periode,nilai,nasional,target,versi,satuan,sumber,id_indikator,nama_indikator
1000,2020,03,202003,1.61,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
1100,2020,03,202003,2.72,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
1200,2020,03,202003,1.51,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
1300,2020,03,202003,0.92,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
1400,2020,03,202003,1.14,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
1500,2020,03,202003,1.1,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
1600,2020,03,202003,2.08,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
1700,2020,03,202003,2.4,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
1800,2020,03,202003,1.9,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
1900,2020,03,202003,0.6,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
2100,2020,03,202003,1.11,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
3100,2020,03,202003,0.59,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
3200,2020,03,202003,1.13,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
3300,2020,03,202003,1.72,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
3400,2020,03,202003,1.94,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
3500,2020,03,202003,1.82,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
3600,2020,03,202003,1,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
5100,2020,09,202009,0.52,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
5200,2020,09,202009,2.58,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
5300,2020,09,202009,4.02,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
6100,2020,03,202003,1.01,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
6200,2020,03,202003,0.8,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
6300,2020,03,202003,0.7,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
6400,2020,03,202003,1.02,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
6500,2020,03,202003,0.84,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
7100,2020,03,202003,1.14,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
7200,2020,03,202003,2.58,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
7300,2020,03,202003,1.53,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
7400,2020,03,202003,2.04,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
7500,2020,03,202003,2.67,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
7600,2020,03,202003,1.89,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
8100,2020,03,202003,3.47,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
8200,2020,03,202003,0.94,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
9100,2020,03,202003,5.79,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
9400,2020,03,202003,6.16,1.61,,2020-07-17,%,Badan Pusat Statistik,39,ind1_kedalaman
