wilayah,tahun,periode,id_periode,nilai,nasional,target RKP,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2018,00,201800,55992070,55992070,,,,,2023-02-17,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1100,2018,00,201800,29521250,55992070,,,,,2023-02-17,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1200,2018,00,201800,51427490,55992070,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1300,2018,00,201800,42802660,55992070,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1400,2018,00,201800,110384900,55992070,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1500,2018,00,201800,58224890,55992070,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1600,2018,00,201800,50104670,55992070,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1700,2018,00,201800,33822130,55992070,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1800,2018,00,201800,39716460,55992070,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1900,2018,00,201800,50081950,55992070,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
2100,2018,00,201800,116461400,55992070,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
3100,2018,00,201800,247678490,55992070,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
3200,2018,00,201800,40272640,55992070,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
3300,2018,00,201800,36770960,55992070,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
3400,2018,00,201800,34136930,55992070,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
3500,2018,00,201800,55410610,55992070,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
3600,2018,00,201800,48370150,55992070,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
5100,2018,00,201800,54433460,55992070,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
5200,2018,00,201800,24705970,55992070,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
5300,2018,00,201800,18417540,55992070,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
6100,2018,00,201800,38814730,55992070,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
6200,2018,00,201800,52107230,55992070,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
6300,2018,00,201800,41046280,55992070,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
6400,2018,00,201800,174164820,55992070,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
6500,2018,00,201800,119413880,55992070,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
7100,2018,00,201800,48105410,55992070,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
7200,2018,00,201800,55518660,55992070,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
7300,2018,00,201800,52642080,55992070,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
7400,2018,00,201800,44492090,55992070,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
7500,2018,00,201800,31827620,55992070,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
7600,2018,00,201800,32059090,55992070,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
8100,2018,00,201800,24268620,55992070,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
8200,2018,00,201800,29586120,55992070,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
9100,2018,00,201800,84958030,55992070,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
9400,2018,00,201800,63385680,55992070,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1000,2019,00,201900,59317910,59317910,,,,,2023-02-17,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1100,2019,00,201900,30879060,59317910,,,,,2023-02-17,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1200,2019,00,201900,54620400,59317910,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1300,2019,00,201900,44885510,59317910,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
