wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator,
1000,2015,03,201503,1.97,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1101,2015,03,201503,2.97,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1102,2015,03,201503,5.29,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1103,2015,03,201503,1.94,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1104,2015,03,201503,2.71,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1105,2015,03,201503,2.33,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1106,2015,03,201503,2.58,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1107,2015,03,201503,4.28,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1108,2015,03,201503,2.54,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1109,2015,03,201503,4.28,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1110,2015,03,201503,2.11,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1111,2015,03,201503,3.14,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1112,2015,03,201503,2.66,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1113,2015,03,201503,4.10,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1114,2015,03,201503,1.88,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1115,2015,03,201503,3.84,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1116,2015,03,201503,2.37,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1117,2015,03,201503,3.29,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1118,2015,03,201503,3.92,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1171,2015,03,201503,1.64,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1172,2015,03,201503,2.97,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1173,2015,03,201503,2.06,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1174,2015,03,201503,2.30,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1175,2015,03,201503,3.43,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1201,2015,03,201503,3.31,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1202,2015,03,201503,1.41,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1203,2015,03,201503,1.28,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1204,2015,03,201503,2.00,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1205,2015,03,201503,1.61,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1206,2015,03,201503,1.12,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1207,2015,03,201503,0.99,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1208,2015,03,201503,1.60,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1209,2015,03,201503,1.22,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1210,2015,03,201503,0.91,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1211,2015,03,201503,1.38,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1212,2015,03,201503,0.47,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1213,2015,03,201503,1.70,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1214,2015,03,201503,2.67,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1215,2015,03,201503,1.24,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1216,2015,03,201503,1.19,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1217,2015,03,201503,1.48,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1218,2015,03,201503,1.25,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1219,2015,03,201503,1.46,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1220,2015,03,201503,1.23,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1221,2015,03,201503,0.91,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1222,2015,03,201503,1.48,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1223,2015,03,201503,1.75,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1224,2015,03,201503,5.84,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1225,2015,03,201503,5.79,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1271,2015,03,201503,2.41,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1272,2015,03,201503,2.23,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1273,2015,03,201503,1.39,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
1274,2015,03,201503,1.48,1.97,,,,,2015-10-21,%,Badan Pusat Statistik,39,ind1_kedalaman,
