wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2018,08,201808,7000691,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1171,2018,08,201808,8855,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1172,2018,08,201808,672,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1173,2018,08,201808,5431,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1174,2018,08,201808,10144,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1175,2018,08,201808,1865,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1271,2018,08,201808,3823,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1272,2018,08,201808,4553,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1273,2018,08,201808,14848,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1274,2018,08,201808,5815,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1275,2018,08,201808,91753,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1276,2018,08,201808,9869,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1277,2018,08,201808,5666,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1278,2018,08,201808,3755,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1371,2018,08,201808,40017,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1372,2018,08,201808,1888,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1373,2018,08,201808,1851,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1374,2018,08,201808,1281,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1375,2018,08,201808,4616,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1376,2018,08,201808,2538,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1377,2018,08,201808,2368,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1471,2018,08,201808,45469,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1473,2018,08,201808,8215,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1571,2018,08,201808,19488,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1572,2018,08,201808,2605,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1671,2018,08,201808,53545,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1672,2018,08,201808,6469,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1673,2018,08,201808,2200,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1674,2018,08,201808,5084,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1771,2018,08,201808,8988,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1871,2018,08,201808,36728,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1872,2018,08,201808,4723,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1971,2018,08,201808,4709,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
2171,2018,08,201808,54018,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
2172,2018,08,201808,5166,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3171,2018,08,201808,70794,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3172,2018,08,201808,89221,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3173,2018,08,201808,30780,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3174,2018,08,201808,60103,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3175,2018,08,201808,63413,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3271,2018,08,201808,50395,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3272,2018,08,201808,12310,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3273,2018,08,201808,96465,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3274,2018,08,201808,14742,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3275,2018,08,201808,132278,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3276,2018,08,201808,73080,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3277,2018,08,201808,23584,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3278,2018,08,201808,21110,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3279,2018,08,201808,5326,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3371,2018,08,201808,3238,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3372,2018,08,201808,11910,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3373,2018,08,201808,4648,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3374,2018,08,201808,48724,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3375,2018,08,201808,9907,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3376,2018,08,201808,9806,7000691,,,,,2022-03-10,Orang,Badan Pusat Statistik,4,ind1_pengangguran
