wilayah,tahun,periode,id_periode,nilai,nasional,target,versi,satuan,sumber,id_indikator,nama_indikator
1000,2020,8,202008,9767754,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1100,2020,8,202008,166600,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1200,2020,8,202008,507805,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1300,2020,8,202008,190609,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1400,2020,8,202008,203837,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1500,2020,8,202008,93990,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1600,2020,8,202008,238363,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1700,2020,8,202008,43801,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1800,2020,8,202008,209568,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1900,2020,8,202008,38756,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
2100,2020,8,202008,117176,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3100,2020,8,202008,572780,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3200,2020,8,202008,2533076,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3300,2020,8,202008,1214342,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3400,2020,8,202008,101846,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3500,2020,8,202008,1301145,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3600,2020,8,202008,661061,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
5100,2020,8,202008,144500,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
5200,2020,8,202008,113430,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
5300,2020,8,202008,121884,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
6100,2020,8,202008,151561,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
6200,2020,8,202008,63309,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
6300,2020,8,202008,103648,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
6400,2020,8,202008,124884,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
6500,2020,8,202008,17290,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
7100,2020,8,202008,90248,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
7200,2020,8,202008,59381,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
7300,2020,8,202008,269817,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
7400,2020,8,202008,61860,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
7500,2020,8,202008,25410,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
7600,2020,8,202008,23132,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
8100,2020,8,202008,63489,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
8200,2020,8,202008,29997,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
9100,2020,8,202008,33501,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
9400,2020,8,202008,75658,9767754,,2020-11-30,Orang,Badan Pusat Statistik,4,ind1_pengangguran
