wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2020,03,202003,0.381,0.381,,,,,2020-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1101,2020,03,202003,0.296,0.381,,,,,2020-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1102,2020,03,202003,0.287,0.381,,,,,2020-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1103,2020,03,202003,0.313,0.381,,,,,2020-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1104,2020,03,202003,0.315,0.381,,,,,2020-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1105,2020,03,202003,0.282,0.381,,,,,2020-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1106,2020,03,202003,0.331,0.381,,,,,2020-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1107,2020,03,202003,0.304,0.381,,,,,2020-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1108,2020,03,202003,0.352,0.381,,,,,2020-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1109,2020,03,202003,0.249,0.381,,,,,2020-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1110,2020,03,202003,0.304,0.381,,,,,2020-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1111,2020,03,202003,0.261,0.381,,,,,2020-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1112,2020,03,202003,0.273,0.381,,,,,2020-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1113,2020,03,202003,0.28,0.381,,,,,2020-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1114,2020,03,202003,0.264,0.381,,,,,2020-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1115,2020,03,202003,0.275,0.381,,,,,2020-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1116,2020,03,202003,0.252,0.381,,,,,2020-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1117,2020,03,202003,0.259,0.381,,,,,2020-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1118,2020,03,202003,0.227,0.381,,,,,2020-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1171,2020,03,202003,0.303,0.381,,,,,2020-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1172,2020,03,202003,0.271,0.381,,,,,2020-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1173,2020,03,202003,0.356,0.381,,,,,2020-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1174,2020,03,202003,0.307,0.381,,,,,2020-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1175,2020,03,202003,0.344,0.381,,,,,2020-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1201,2020,03,202003,0.251,0.381,,,,,2020-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1202,2020,03,202003,0.248,0.381,,,,,2020-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1203,2020,03,202003,0.202,0.381,,,,,2020-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1204,2020,03,202003,0.335,0.381,,,,,2020-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1205,2020,03,202003,0.287,0.381,,,,,2020-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1206,2020,03,202003,0.29,0.381,,,,,2020-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1207,2020,03,202003,0.271,0.381,,,,,2020-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1208,2020,03,202003,0.26,0.381,,,,,2020-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1209,2020,03,202003,0.295,0.381,,,,,2020-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
