wilayah,tahun,periode,id_periode,nilai,nasional,target RKP,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2021,08,202108,6.49,6.49,,5,9.1,,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1100,2021,08,202108,6.33,6.49,9.8,6,5.6,8.8,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1200,2021,08,202108,6.52,6.49,9.3,5.3,5.4,8.8,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1300,2021,08,202108,4.42,6.49,9.2,5.3,7.77,8.8,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1400,2021,08,202108,5.09,6.49,9.9,5.8,5.96,8.8,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1500,2021,08,202108,4.98,6.49,7.4,3.5,5.8,8.8,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1600,2021,08,202108,3.65,6.49,8.4,3.8,3.87,8.8,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1700,2021,08,202108,4.69,6.49,6.5,3.3,4.9,8.8,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1800,2021,08,202108,5.03,6.49,7.9,3.6,6.3,8.8,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
1900,2021,08,202108,9.91,6.49,6.6,3.1,5.5,8.8,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
2100,2021,08,202108,8.5,6.49,10.3,6.7,6.6,8.8,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
3100,2021,08,202108,9.82,6.49,10.4,5.7,4.9,9.5,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
3200,2021,08,202108,5.95,6.49,11.9,7.5,11.18,9.5,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
3300,2021,08,202108,4.56,6.49,8.4,4,5.67,9.5,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
3400,2021,08,202108,5.74,6.49,6.9,2.8,4.8,9.5,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
3500,2021,08,202108,8.98,6.49,7.9,3.4,4.01,9.5,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
3600,2021,08,202108,5.37,6.49,12.1,7.8,10.1,9.5,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
5100,2021,08,202108,3.01,6.49,5.5,1.3,1.07,9.5,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
5200,2021,08,202108,3.77,6.49,7.4,3.3,3.21,7,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
5300,2021,08,202108,5.82,6.49,6.7,2.7,3.01,7,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
6100,2021,08,202108,4.53,6.49,7.7,3.7,2.39,8.1,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
6200,2021,08,202108,4.95,6.49,7.2,3.7,4,8.1,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
6300,2021,08,202108,6.83,6.49,7.5,4,5.06,8.1,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
6400,2021,08,202108,4.58,6.49,9.9,6,8.34,8.1,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
6500,2021,08,202108,7.06,6.49,7.8,4.4,4.8,8.1,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
7100,2021,08,202108,3.75,6.49,10.1,6.5,6.6,8.1,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
7200,2021,08,202108,5.72,6.49,6.5,3.3,3.25,8.1,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
7300,2021,08,202108,3.92,6.49,8.9,5.1,7.2,8.1,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
7400,2021,08,202108,3.01,6.49,6.9,3.2,3.59,8.1,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
7500,2021,08,202108,3.13,6.49,7.1,3.4,4.92,8.1,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
7600,2021,08,202108,6.93,6.49,6.5,2.9,4.9,8.1,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
8100,2021,08,202108,4.71,6.49,10,6.7,6.54,9.1,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
8200,2021,08,202108,5.84,6.49,7.9,4,4.58,9.1,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
9100,2021,08,202108,3.33,6.49,9.3,5.8,5.87,6.8,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
9400,2021,08,202108,3.77,6.49,6.2,2.9,3.02,6.8,2021-11-05,%,Badan Pusat Statistik,6,ind1_tpt
