wilayah,tahun,periode,id_periode,nilai,nasional,target,versi,satuan,sumber,id_indikator,nama_indikator
1000,2020,09,202009,27549690,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
1100,2020,09,202009,833910,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
1200,2020,09,202009,1356720,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
1300,2020,09,202009,364790,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
1400,2020,09,202009,491220,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
1500,2020,09,202009,288100,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
1600,2020,09,202009,1119650,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
1700,2020,09,202009,306000,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
1800,2020,09,202009,1091140,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
1900,2020,09,202009,72050,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
2100,2020,09,202009,142610,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
3100,2020,09,202009,496840,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
3200,2020,09,202009,4188520,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
3300,2020,09,202009,4119930,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
3400,2020,09,202009,503140,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
3500,2020,09,202009,4585970,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
3600,2020,09,202009,857640,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
5100,2020,09,202009,196920,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
5200,2020,09,202009,746040,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
5300,2020,09,202009,1173530,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
6100,2020,09,202009,370710,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
6200,2020,09,202009,141780,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
6300,2020,09,202009,206920,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
6400,2020,09,202009,243990,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
6500,2020,09,202009,52700,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
7100,2020,09,202009,195850,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
7200,2020,09,202009,403740,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
7300,2020,09,202009,800240,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
7400,2020,09,202009,317320,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
7500,2020,09,202009,185310,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
7600,2020,09,202009,159050,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
8100,2020,09,202009,322400,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
8200,2020,09,202009,87520,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
9100,2020,09,202009,215220,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
9400,2020,09,202009,912230,27549690,,2021-02-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
