wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2021,09,202109,0.42,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
1100,2021,09,202109,0.81,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
1200,2021,09,202109,0.38,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
1300,2021,09,202109,0.23,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
1400,2021,09,202109,0.28,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
1500,2021,09,202109,0.23,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
1600,2021,09,202109,0.64,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
1700,2021,09,202109,0.55,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
1800,2021,09,202109,0.38,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
1900,2021,09,202109,0.11,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
2100,2021,09,202109,0.22,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
3100,2021,09,202109,0.18,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
3200,2021,09,202109,0.31,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
3300,2021,09,202109,0.46,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
3400,2021,09,202109,0.53,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
3500,2021,09,202109,0.33,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
3600,2021,09,202109,0.34,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
5100,2021,09,202109,0.17,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
5200,2021,09,202109,0.63,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
5300,2021,09,202109,1.44,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
6100,2021,09,202109,0.24,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
6200,2021,09,202109,0.17,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
6300,2021,09,202109,0.10,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
6400,2021,09,202109,0.23,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
6500,2021,09,202109,0.17,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
7100,2021,09,202109,0.22,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
7200,2021,09,202109,0.62,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
7300,2021,09,202109,0.34,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
7400,2021,09,202109,0.69,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
7500,2021,09,202109,0.77,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
7600,2021,09,202109,0.50,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
8100,2021,09,202109,1.06,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
8200,2021,09,202109,0.20,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
9100,2021,09,202109,2.18,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
9400,2021,09,202109,2.05,0.42,,,,,2022-01-17,%,Badan Pusat Statistik,38,ind1_keparahan
