wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2021,00,202100,69.19,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1100,2021,00,202100,69.96,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1200,2021,00,202100,65.28,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1300,2021,00,202100,67.43,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1400,2021,00,202100,64.4,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1500,2021,00,202100,68.22,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1600,2021,00,202100,68.74,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1700,2021,00,202100,68.86,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1800,2021,00,202100,67.99,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1900,2021,00,202100,69.79,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
2100,2021,00,202100,66.95,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
3100,2021,00,202100,71.26,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
3200,2021,00,202100,68.81,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
3300,2021,00,202100,65.06,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
3400,2021,00,202100,65.53,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
3500,2021,00,202100,69.63,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
3600,2021,00,202100,69.24,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
5100,2021,00,202100,67.19,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
5200,2021,00,202100,69.26,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
5300,2021,00,202100,70.18,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
6100,2021,00,202100,71.52,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
6200,2021,00,202100,70.56,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
6300,2021,00,202100,69.43,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
6400,2021,00,202100,71.64,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
6500,2021,00,202100,64.07,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
7100,2021,00,202100,69.23,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
7200,2021,00,202100,69.78,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
7300,2021,00,202100,62.65,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
7400,2021,00,202100,64.97,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
7500,2021,00,202100,67.24,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
7600,2021,00,202100,68.76,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
8100,2021,00,202100,70.29,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
8200,2021,00,202100,69.95,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
9100,2021,00,202100,68.37,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
9400,2021,00,202100,71.37,69.19,,,,,2021-11-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
