wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2021,03,202103,0.384,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1101,2021,03,202103,0.309,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1102,2021,03,202103,0.337,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1103,2021,03,202103,0.295,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1104,2021,03,202103,0.247,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1105,2021,03,202103,0.271,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1106,2021,03,202103,0.290,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1107,2021,03,202103,0.295,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1108,2021,03,202103,0.296,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1109,2021,03,202103,0.220,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1110,2021,03,202103,0.296,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1111,2021,03,202103,0.283,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1112,2021,03,202103,0.282,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1113,2021,03,202103,0.264,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1114,2021,03,202103,0.276,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1115,2021,03,202103,0.257,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1116,2021,03,202103,0.312,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1117,2021,03,202103,0.255,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1118,2021,03,202103,0.236,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1171,2021,03,202103,0.347,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1172,2021,03,202103,0.293,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1173,2021,03,202103,0.340,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1174,2021,03,202103,0.296,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1175,2021,03,202103,0.303,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1201,2021,03,202103,0.245,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1202,2021,03,202103,0.240,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1203,2021,03,202103,0.256,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1204,2021,03,202103,0.292,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1205,2021,03,202103,0.277,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1206,2021,03,202103,0.272,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1207,2021,03,202103,0.256,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1208,2021,03,202103,0.244,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1209,2021,03,202103,0.264,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1210,2021,03,202103,0.227,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1211,2021,03,202103,0.233,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1212,2021,03,202103,0.263,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1213,2021,03,202103,0.238,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1214,2021,03,202103,0.241,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1215,2021,03,202103,0.304,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1216,2021,03,202103,0.242,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1217,2021,03,202103,0.273,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1218,2021,03,202103,0.229,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1219,2021,03,202103,0.240,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1220,2021,03,202103,0.255,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1221,2021,03,202103,0.253,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1222,2021,03,202103,0.232,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1223,2021,03,202103,0.243,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1224,2021,03,202103,0.236,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1225,2021,03,202103,0.224,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1271,2021,03,202103,0.276,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1272,2021,03,202103,0.248,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1273,2021,03,202103,0.308,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1274,2021,03,202103,0.344,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1275,2021,03,202103,0.402,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1276,2021,03,202103,0.290,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1277,2021,03,202103,0.310,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1278,2021,03,202103,0.317,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1301,2021,03,202103,0.321,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1302,2021,03,202103,0.253,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1303,2021,03,202103,0.246,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1304,2021,03,202103,0.270,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1305,2021,03,202103,0.250,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1306,2021,03,202103,0.269,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1307,2021,03,202103,0.272,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1308,2021,03,202103,0.244,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1309,2021,03,202103,0.248,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1310,2021,03,202103,0.277,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1311,2021,03,202103,0.268,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1312,2021,03,202103,0.261,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1371,2021,03,202103,0.343,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1372,2021,03,202103,0.277,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1373,2021,03,202103,0.295,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1374,2021,03,202103,0.306,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1375,2021,03,202103,0.286,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1376,2021,03,202103,0.316,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1377,2021,03,202103,0.301,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1401,2021,03,202103,0.264,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1402,2021,03,202103,0.305,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1403,2021,03,202103,0.297,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1404,2021,03,202103,0.294,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1405,2021,03,202103,0.295,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1406,2021,03,202103,0.281,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1407,2021,03,202103,0.296,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1408,2021,03,202103,0.273,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1409,2021,03,202103,0.257,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1410,2021,03,202103,0.278,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1471,2021,03,202103,0.391,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1473,2021,03,202103,0.345,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1501,2021,03,202103,0.279,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1502,2021,03,202103,0.286,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1503,2021,03,202103,0.316,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1504,2021,03,202103,0.310,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1505,2021,03,202103,0.315,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1506,2021,03,202103,0.251,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1507,2021,03,202103,0.249,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1508,2021,03,202103,0.295,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1509,2021,03,202103,0.299,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1571,2021,03,202103,0.346,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1572,2021,03,202103,0.311,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1601,2021,03,202103,0.347,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1602,2021,03,202103,0.299,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
1603,2021,03,202103,0.337,0.384,,,,,2021-01-11,,Badan Pusat Statistik,7,ind1_ginirasio
