wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2021,09,202109,0.381,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
1100,2021,09,202109,0.323,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
1200,2021,09,202109,0.313,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
1300,2021,09,202109,0.300,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
1400,2021,09,202109,0.327,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
1500,2021,09,202109,0.315,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
1600,2021,09,202109,0.340,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
1700,2021,09,202109,0.321,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
1800,2021,09,202109,0.314,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
1900,2021,09,202109,0.247,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
2100,2021,09,202109,0.339,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
3100,2021,09,202109,0.411,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
3200,2021,09,202109,0.406,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
3300,2021,09,202109,0.368,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
3400,2021,09,202109,0.436,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
3500,2021,09,202109,0.364,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
3600,2021,09,202109,0.363,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
5100,2021,09,202109,0.375,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
5200,2021,09,202109,0.384,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
5300,2021,09,202109,0.339,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
6100,2021,09,202109,0.315,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
6200,2021,09,202109,0.320,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
6300,2021,09,202109,0.325,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
6400,2021,09,202109,0.331,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
6500,2021,09,202109,0.285,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
7100,2021,09,202109,0.359,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
7200,2021,09,202109,0.326,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
7300,2021,09,202109,0.377,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
7400,2021,09,202109,0.394,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
7500,2021,09,202109,0.409,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
7600,2021,09,202109,0.366,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
8100,2021,09,202109,0.316,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
8200,2021,09,202109,0.278,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
9100,2021,09,202109,0.374,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
9400,2021,09,202109,0.396,0.381,,,,,2022-01-17,,Badan Pusat Statistik,7,ind1_ginirasio
