wilayah,tahun,periode,id_periode,nilai,nasional,target,versi,satuan,sumber,id_indikator,nama_indikator
1000,2020,0,202000,8.48,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1100,2020,0,202000,9.33,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1200,2020,0,202000,9.54,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1300,2020,0,202000,8.99,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1400,2020,0,202000,9.14,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1500,2020,0,202000,8.55,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1600,2020,0,202000,8.24,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1700,2020,0,202000,8.84,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1800,2020,0,202000,8.05,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1900,2020,0,202000,8.06,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
2100,2020,0,202000,10.12,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
3100,2020,0,202000,11.13,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
3200,2020,0,202000,8.55,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
3300,2020,0,202000,7.69,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
3400,2020,0,202000,9.55,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
3500,2020,0,202000,7.78,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
3600,2020,0,202000,8.89,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
5100,2020,0,202000,8.95,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
5200,2020,0,202000,7.31,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
5300,2020,0,202000,7.63,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
6100,2020,0,202000,7.37,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
6200,2020,0,202000,8.59,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
6300,2020,0,202000,8.29,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
6400,2020,0,202000,9.77,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
6500,2020,0,202000,9,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
7100,2020,0,202000,9.49,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
7200,2020,0,202000,8.83,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
7300,2020,0,202000,8.38,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
7400,2020,0,202000,9.04,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
7500,2020,0,202000,7.82,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
7600,2020,0,202000,7.89,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
8100,2020,0,202000,9.93,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
8200,2020,0,202000,9.04,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
9100,2020,0,202000,7.6,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
9400,2020,0,202000,6.69,8.48,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1000,2019,0,201900,8.34,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1100,2019,0,201900,9.18,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1200,2019,0,201900,9.45,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1300,2019,0,201900,8.92,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1400,2019,0,201900,9.03,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1500,2019,0,201900,8.45,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1600,2019,0,201900,8.18,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1700,2019,0,201900,8.73,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1800,2019,0,201900,7.92,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
1900,2019,0,201900,7.98,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
2100,2019,0,201900,9.99,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
3100,2019,0,201900,11.06,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
3200,2019,0,201900,8.37,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
3300,2019,0,201900,7.53,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
3400,2019,0,201900,9.38,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
3500,2019,0,201900,7.59,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
3600,2019,0,201900,8.74,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
5100,2019,0,201900,8.84,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
5200,2019,0,201900,7.27,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
5300,2019,0,201900,7.55,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
6100,2019,0,201900,7.31,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
6200,2019,0,201900,8.51,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
6300,2019,0,201900,8.2,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
6400,2019,0,201900,9.7,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
6500,2019,0,201900,8.94,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
7100,2019,0,201900,9.43,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
7200,2019,0,201900,8.75,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
7300,2019,0,201900,8.26,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
7400,2019,0,201900,8.91,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
7500,2019,0,201900,7.69,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
7600,2019,0,201900,7.73,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
8100,2019,0,201900,9.81,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
8200,2019,0,201900,9,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
9100,2019,0,201900,7.44,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
9400,2019,0,201900,6.65,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls
