wilayah,tahun,periode,id_periode,nilai,nasional,target,versi,satuan,sumber,id_indikator,nama_indikator
1000,2020,09,202009,10.19,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1100,2020,09,202009,15.43,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1200,2020,09,202009,9.14,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1300,2020,09,202009,6.56,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1400,2020,09,202009,7.04,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1500,2020,09,202009,7.97,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1600,2020,09,202009,12.98,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1700,2020,09,202009,15.3,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1800,2020,09,202009,12.76,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1900,2020,09,202009,4.89,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
2100,2020,09,202009,6.13,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
3100,2020,09,202009,4.69,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
3200,2020,09,202009,8.43,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
3300,2020,09,202009,11.84,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
3400,2020,09,202009,12.8,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
3500,2020,09,202009,11.46,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
3600,2020,09,202009,6.63,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
5100,2020,09,202009,4.45,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
5200,2020,09,202009,14.23,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
5300,2020,09,202009,21.21,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
6100,2020,09,202009,7.24,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
6200,2020,09,202009,5.26,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
6300,2020,09,202009,4.83,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
6400,2020,09,202009,6.64,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
6500,2020,09,202009,7.41,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
7100,2020,09,202009,7.78,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
7200,2020,09,202009,13.06,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
7300,2020,09,202009,8.99,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
7400,2020,03,202003,11.69,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
7500,2020,03,202003,15.59,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
7600,2020,03,202003,11.5,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
8100,2020,03,202003,17.99,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
8200,2020,03,202003,6.97,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
9100,2020,03,202003,21.7,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
9400,2020,09,202009,26.8,10.19,,2021-02-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
