wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2021,00,202100,3.69,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1101,2021,00,202100,2.85,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1102,2021,00,202100,3.9,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1103,2021,00,202100,2.46,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1104,2021,00,202100,1.48,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1105,2021,00,202100,1.94,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1106,2021,00,202100,3.21,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1107,2021,00,202100,5.67,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1108,2021,00,202100,2.44,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1109,2021,00,202100,2.63,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1110,2021,00,202100,4.13,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1111,2021,00,202100,-0.55,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1112,2021,00,202100,2.88,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1113,2021,00,202100,2.32,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1114,2021,00,202100,0.88,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1115,2021,00,202100,5.34,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1116,2021,00,202100,2.59,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1117,2021,00,202100,3.15,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1118,2021,00,202100,2.03,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1171,2021,00,202100,5.53,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1172,2021,00,202100,2.67,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1173,2021,00,202100,4.23,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1174,2021,00,202100,3.84,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1175,2021,00,202100,3.87,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1201,2021,00,202100,2.21,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1202,2021,00,202100,3.2,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1203,2021,00,202100,3.24,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1204,2021,00,202100,2.56,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1205,2021,00,202100,3.54,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1206,2021,00,202100,2.92,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1207,2021,00,202100,3.85,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1208,2021,00,202100,3.73,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1209,2021,00,202100,3.7,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1210,2021,00,202100,2.05,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1211,2021,00,202100,2.25,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1212,2021,00,202100,2.23,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1213,2021,00,202100,3.08,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1214,2021,00,202100,2.02,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1215,2021,00,202100,2.02,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1216,2021,00,202100,2.54,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1217,2021,00,202100,2.65,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1218,2021,00,202100,2.87,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1219,2021,00,202100,2.35,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1220,2021,00,202100,3.26,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1221,2021,00,202100,3.83,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1222,2021,00,202100,3.82,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1223,2021,00,202100,3.83,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1224,2021,00,202100,2.02,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1225,2021,00,202100,2.26,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1271,2021,00,202100,2.1,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1272,2021,00,202100,2.35,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1273,2021,00,202100,1.25,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1274,2021,00,202100,2.51,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1275,2021,00,202100,2.62,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1276,2021,00,202100,2.23,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1277,2021,00,202100,2.75,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1278,2021,00,202100,2.25,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1301,2021,00,202100,2.89,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1302,2021,00,202100,3.37,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1303,2021,00,202100,3.32,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1304,2021,00,202100,3.15,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1305,2021,00,202100,3.3,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1306,2021,00,202100,2.18,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1307,2021,00,202100,3.7,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1308,2021,00,202100,3.33,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1309,2021,00,202100,3.39,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1310,2021,00,202100,3.35,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1311,2021,00,202100,3.42,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1312,2021,00,202100,3.75,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1371,2021,00,202100,3.66,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1372,2021,00,202100,3.56,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1373,2021,00,202100,2.49,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1374,2021,00,202100,3.46,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1375,2021,00,202100,3.61,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1376,2021,00,202100,3.58,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1377,2021,00,202100,3.53,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1401,2021,00,202100,3.55,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1402,2021,00,202100,4.51,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1403,2021,00,202100,4.44,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1404,2021,00,202100,4.07,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1405,2021,00,202100,2.31,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1406,2021,00,202100,3.45,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1407,2021,00,202100,4.98,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1408,2021,00,202100,0.51,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1409,2021,00,202100,1.67,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1410,2021,00,202100,2.56,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1471,2021,00,202100,5.24,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1473,2021,00,202100,5.98,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1501,2021,00,202100,4.16,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1502,2021,00,202100,5.09,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1503,2021,00,202100,6.61,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1504,2021,00,202100,4.74,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1505,2021,00,202100,4.08,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1506,2021,00,202100,0.13,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1507,2021,00,202100,1.36,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1508,2021,00,202100,4.32,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1509,2021,00,202100,5.12,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1571,2021,00,202100,3.94,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1572,2021,00,202100,3.67,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1601,2021,00,202100,2.51,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1602,2021,00,202100,3.37,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1603,2021,00,202100,5.75,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1604,2021,00,202100,4.63,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1605,2021,00,202100,2.33,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1606,2021,00,202100,3.42,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1607,2021,00,202100,3.84,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1608,2021,00,202100,4.38,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1609,2021,00,202100,4.66,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1610,2021,00,202100,3.77,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1611,2021,00,202100,3.82,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1612,2021,00,202100,2.18,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1613,2021,00,202100,2.39,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1671,2021,00,202100,3.17,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1672,2021,00,202100,3.05,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1673,2021,00,202100,4.39,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1674,2021,00,202100,3.15,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1701,2021,00,202100,3.25,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1702,2021,00,202100,3.14,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1703,2021,00,202100,4.01,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1704,2021,00,202100,3.08,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1705,2021,00,202100,2.18,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1706,2021,00,202100,3.12,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1707,2021,00,202100,3.08,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1708,2021,00,202100,3.16,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1709,2021,00,202100,2.29,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1771,2021,00,202100,3.47,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1801,2021,00,202100,2.58,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1802,2021,00,202100,2.3,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1803,2021,00,202100,2.68,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1804,2021,00,202100,0.24,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1805,2021,00,202100,2.88,3.69,,,,,2021-12-06,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
