wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2021,00,202100,13.08,13.08,,,,,2022-09-06,Tahun,Badan Pusat Statistik,10,ind1_hls
1101,2021,00,202100,13.9,13.08,,,,,2022-09-06,Tahun,Badan Pusat Statistik,10,ind1_hls
1102,2021,00,202100,14.32,13.08,,,,,2022-09-06,Tahun,Badan Pusat Statistik,10,ind1_hls
1103,2021,00,202100,14.6,13.08,,,,,2022-09-06,Tahun,Badan Pusat Statistik,10,ind1_hls
1104,2021,00,202100,14.01,13.08,,,,,2022-09-06,Tahun,Badan Pusat Statistik,10,ind1_hls
1105,2021,00,202100,13.04,13.08,,,,,2022-09-06,Tahun,Badan Pusat Statistik,10,ind1_hls
1106,2021,00,202100,14.28,13.08,,,,,2022-09-06,Tahun,Badan Pusat Statistik,10,ind1_hls
1107,2021,00,202100,14.61,13.08,,,,,2022-09-06,Tahun,Badan Pusat Statistik,10,ind1_hls
1108,2021,00,202100,14.73,13.08,,,,,2022-09-06,Tahun,Badan Pusat Statistik,10,ind1_hls
1109,2021,00,202100,14.47,13.08,,,,,2022-09-06,Tahun,Badan Pusat Statistik,10,ind1_hls
1110,2021,00,202100,14.84,13.08,,,,,2022-09-06,Tahun,Badan Pusat Statistik,10,ind1_hls
1111,2021,00,202100,14.71,13.08,,,,,2022-09-06,Tahun,Badan Pusat Statistik,10,ind1_hls
1112,2021,00,202100,13.65,13.08,,,,,2022-09-06,Tahun,Badan Pusat Statistik,10,ind1_hls
1113,2021,00,202100,13.78,13.08,,,,,2022-09-06,Tahun,Badan Pusat Statistik,10,ind1_hls
1114,2021,00,202100,13.76,13.08,,,,,2022-09-06,Tahun,Badan Pusat Statistik,10,ind1_hls
1115,2021,00,202100,14.14,13.08,,,,,2022-09-06,Tahun,Badan Pusat Statistik,10,ind1_hls
1116,2021,00,202100,13.99,13.08,,,,,2022-09-06,Tahun,Badan Pusat Statistik,10,ind1_hls
1117,2021,00,202100,13.47,13.08,,,,,2022-09-06,Tahun,Badan Pusat Statistik,10,ind1_hls
1118,2021,00,202100,14.97,13.08,,,,,2022-09-06,Tahun,Badan Pusat Statistik,10,ind1_hls
1171,2021,00,202100,17.8,13.08,,,,,2022-09-06,Tahun,Badan Pusat Statistik,10,ind1_hls
1172,2021,00,202100,14.13,13.08,,,,,2022-09-06,Tahun,Badan Pusat Statistik,10,ind1_hls
1173,2021,00,202100,15.63,13.08,,,,,2022-09-06,Tahun,Badan Pusat Statistik,10,ind1_hls
1174,2021,00,202100,15.21,13.08,,,,,2022-09-06,Tahun,Badan Pusat Statistik,10,ind1_hls
1175,2021,00,202100,14.62,13.08,,,,,2022-09-06,Tahun,Badan Pusat Statistik,10,ind1_hls
1201,2021,00,202100,12.84,13.08,,,,,2022-09-06,Tahun,Badan Pusat Statistik,10,ind1_hls
1202,2021,00,202100,13.61,13.08,,,,,2022-09-06,Tahun,Badan Pusat Statistik,10,ind1_hls
1203,2021,00,202100,13.35,13.08,,,,,2022-09-06,Tahun,Badan Pusat Statistik,10,ind1_hls
