wilayah,tahun,periode,id_periode,nilai,nasional,target RKP,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2021,03,202103,27542770,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
1100,2021,03,202103,834240,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
1200,2021,03,202103,1343860,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
1300,2021,03,202103,370670,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
1400,2021,03,202103,500810,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
1500,2021,03,202103,293860,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
1600,2021,03,202103,1113760,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
1700,2021,03,202103,306000,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
1800,2021,03,202103,1083930,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
1900,2021,03,202103,72710,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
2100,2021,03,202103,144460,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
3100,2021,03,202103,501920,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
3200,2021,03,202103,4195340,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
3300,2021,03,202103,4109750,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
3400,2021,03,202103,506450,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
3500,2021,03,202103,4572730,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
3600,2021,03,202103,867230,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
5100,2021,03,202103,201970,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
5200,2021,03,202103,746660,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
5300,2021,03,202103,1169310,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
6100,2021,03,202103,367890,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
6200,2021,03,202103,140040,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
6300,2021,03,202103,208110,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
6400,2021,03,202103,241770,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
6500,2021,03,202103,52860,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
7100,2021,03,202103,196350,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
7200,2021,03,202103,404440,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
7300,2021,03,202103,784980,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
7400,2021,03,202103,318700,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
7500,2021,03,202103,186290,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
7600,2021,03,202103,157190,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
8100,2021,03,202103,321810,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
8200,2021,03,202103,87160,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
9100,2021,03,202103,219070,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
9400,2021,03,202103,920440,27542770,,,,,2021-07-15,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
