wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2021,09,202109,1.67,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
1100,2021,09,202109,2.95,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
1200,2021,09,202109,1.45,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
1300,2021,09,202109,0.96,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
1400,2021,09,202109,1.09,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
1500,2021,09,202109,1.09,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
1600,2021,09,202109,2.33,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
1700,2021,09,202109,2.45,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
1800,2021,09,202109,1.85,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
1900,2021,09,202109,0.56,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
2100,2021,09,202109,0.95,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
3100,2021,09,202109,0.75,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
3200,2021,09,202109,1.29,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
3300,2021,09,202109,1.94,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
3400,2021,09,202109,2.06,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
3500,2021,09,202109,1.58,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
3600,2021,09,202109,1.20,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
5100,2021,09,202109,0.76,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
5200,2021,09,202109,2.50,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
5300,2021,09,202109,4.79,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
6100,2021,09,202109,1.02,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
6200,2021,09,202109,0.75,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
6300,2021,09,202109,0.55,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
6400,2021,09,202109,1.04,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
6500,2021,09,202109,0.89,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
7100,2021,09,202109,1.04,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
7200,2021,09,202109,2.24,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
7300,2021,09,202109,1.40,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
7400,2021,09,202109,2.40,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
7500,2021,09,202109,2.92,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
7600,2021,09,202109,1.90,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
8100,2021,09,202109,3.49,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
8200,2021,09,202109,0.94,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
9100,2021,09,202109,5.84,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
9400,2021,09,202109,6.31,1.67,,,,,2022-01-17,%,Badan Pusat Statistik,39,ind1_kedalaman
