wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1101,2021,00,202100,2.85,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1102,2021,00,202100,3.9,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1103,2021,00,202100,2.46,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1104,2021,00,202100,1.48,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1105,2021,00,202100,1.94,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1106,2021,00,202100,3.21,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1107,2021,00,202100,5.67,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1108,2021,00,202100,2.44,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1109,2021,00,202100,2.63,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1110,2021,00,202100,4.13,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1111,2021,00,202100,-0.55,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1112,2021,00,202100,2.88,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1113,2021,00,202100,2.32,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1114,2021,00,202100,0.88,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1115,2021,00,202100,5.34,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1116,2021,00,202100,2.59,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1117,2021,00,202100,3.15,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1118,2021,00,202100,2.03,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1201,2021,00,202100,2.21,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1202,2021,00,202100,3.2,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1203,2021,00,202100,3.24,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1204,2021,00,202100,2.56,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1205,2021,00,202100,3.54,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1206,2021,00,202100,2.92,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1207,2021,00,202100,3.85,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1208,2021,00,202100,3.73,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1209,2021,00,202100,3.7,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1210,2021,00,202100,2.05,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1211,2021,00,202100,2.25,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1212,2021,00,202100,2.23,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1213,2021,00,202100,3.08,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1214,2021,00,202100,2.02,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1215,2021,00,202100,2.02,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1216,2021,00,202100,2.54,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1217,2021,00,202100,2.65,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1218,2021,00,202100,2.87,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1219,2021,00,202100,2.35,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1220,2021,00,202100,3.26,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1221,2021,00,202100,3.83,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1222,2021,00,202100,3.82,3.69,,,,,2022-03-01,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
