wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2021,03,202103,0.384,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1100,2021,03,202103,0.324,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1200,2021,03,202103,0.314,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1300,2021,03,202103,0.306,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1400,2021,03,202103,0.326,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1500,2021,03,202103,0.321,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1600,2021,03,202103,0.341,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1700,2021,03,202103,0.326,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1800,2021,03,202103,0.323,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
1900,2021,03,202103,0.256,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
2100,2021,03,202103,0.343,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
3100,2021,03,202103,0.409,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
3200,2021,03,202103,0.412,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
3300,2021,03,202103,0.372,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
3400,2021,03,202103,0.441,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
3500,2021,03,202103,0.374,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
3600,2021,03,202103,0.365,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
5100,2021,03,202103,0.378,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
5200,2021,03,202103,0.381,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
5300,2021,03,202103,0.346,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
6100,2021,03,202103,0.313,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
6200,2021,03,202103,0.323,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
6300,2021,03,202103,0.330,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
6400,2021,03,202103,0.334,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
6500,2021,03,202103,0.292,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
7100,2021,03,202103,0.365,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
7200,2021,03,202103,0.316,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
7300,2021,03,202103,0.382,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
7400,2021,03,202103,0.390,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
7500,2021,03,202103,0.408,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
7600,2021,03,202103,0.356,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
8100,2021,03,202103,0.314,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
8200,2021,03,202103,0.300,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
9100,2021,03,202103,0.380,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
9400,2021,03,202103,0.397,0.384,,,,,2021-07-15,,Badan Pusat Statistik,7,ind1_ginirasio
