wilayah,tahun,periode,id_periode,nilai,nasional,target RKP,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2015,03,201503,11.22,11.22,,,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1100,2015,03,201503,17.08,11.22,16.68,16.2,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1200,2015,03,201503,10.53,11.22,8.8,9.2,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1300,2015,03,201503,7.31,11.22,6.23,6.7,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1400,2015,03,201503,8.42,11.22,7.13,7.1,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1500,2015,03,201503,8.86,11.22,7.15,5.9,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1600,2015,03,201503,14.25,11.22,10.94,12.2,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1700,2015,03,201503,17.88,11.22,15.25,14.7,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1800,2015,03,201503,14.35,11.22,13.42,14.1,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1900,2015,03,201503,5.4,11.22,4.11,3.9,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
2100,2015,03,201503,6.24,11.22,5.96,5.1,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
3100,2015,03,201503,3.93,11.22,2.93,3.4,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
3200,2015,03,201503,9.53,11.22,8.34,8.9,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
3300,2015,03,201503,13.58,11.22,12.22,5.3,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
3400,2015,03,201503,14.91,11.22,13.44,13.1,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
3500,2015,03,201503,12.34,11.22,10.31,13.8,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
3600,2015,03,201503,5.9,11.22,4.54,12,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
5100,2015,03,201503,4.74,11.22,3.62,4,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
5200,2015,03,201503,17.1,11.22,16.79,16.9,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
5300,2015,03,201503,22.61,11.22,17.66,18.4,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
6100,2015,03,201503,8.03,11.22,6.43,8.7,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
6200,2015,03,201503,5.94,11.22,4.84,6,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
6300,2015,03,201503,4.99,11.22,3.92,4.5,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
6400,2015,03,201503,6.23,11.22,5.11,5.1,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
6500,2015,03,201503,6.24,11.22,-,6.7,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
7100,2015,03,201503,8.65,11.22,6.33,7.1,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
7200,2015,03,201503,14.66,11.22,12.6,13.7,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
7300,2015,03,201503,9.39,11.22,8.08,9.1,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
7400,2015,03,201503,12.9,11.22,11.91,13.5,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
7500,2015,03,201503,18.32,11.22,15.87,15.9,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
7600,2015,03,201503,12.4,11.22,11.21,10.2,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
8100,2015,03,201503,19.51,11.22,16.59,18.9,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
8200,2015,03,201503,6.84,11.22,6.86,6.6,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
9100,2015,03,201503,25.82,11.22,24.84,25.6,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
9400,2015,03,201503,28.17,11.22,30.14,30.9,,,2015-09-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1000,2016,03,201603,10.86,10.86,,,,,2016-07-18,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1100,2016,03,201603,16.73,10.86,14.9,14.9,,,2016-07-18,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1200,2016,03,201603,10.35,10.86,8.7,8.7,,,2016-07-18,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1300,2016,03,201603,7.09,10.86,6.2,6.2,,,2016-07-18,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1400,2016,03,201603,7.98,10.86,6.4,6.4,,,2016-07-18,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1500,2016,03,201603,8.41,10.86,5.4,5.4,,,2016-07-18,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1600,2016,03,201603,13.54,10.86,11.3,11.3,,,2016-07-18,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1700,2016,03,201603,17.32,10.86,13.6,13.6,,,2016-07-18,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1800,2016,03,201603,14.29,10.86,13.6,13.6,,,2016-07-18,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1900,2016,03,201603,5.22,10.86,3.6,3.6,,,2016-07-18,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
2100,2016,03,201603,5.98,10.86,4.6,4.6,,,2016-07-18,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
3100,2016,03,201603,3.75,10.86,3.2,3.2,,,2016-07-18,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
3200,2016,03,201603,8.95,10.86,8.2,8.2,,,2016-07-18,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
3300,2016,03,201603,13.27,10.86,12.2,4.9,,,2016-07-18,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
3400,2016,03,201603,13.34,10.86,12.8,12.2,,,2016-07-18,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
3500,2016,03,201603,12.05,10.86,11.2,12.8,,,2016-07-18,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
3600,2016,03,201603,5.42,10.86,4.9,11.2,,,2016-07-18,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
5100,2016,03,201603,4.25,10.86,3.7,3.7,,,2016-07-18,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
5200,2016,03,201603,16.48,10.86,15.6,15.6,,,2016-07-18,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
5300,2016,03,201603,22.19,10.86,17,17,,,2016-07-18,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
6100,2016,03,201603,7.87,10.86,8,8,,,2016-07-18,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
6200,2016,03,201603,5.66,10.86,5.8,5.8,,,2016-07-18,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
6300,2016,03,201603,4.85,10.86,4.2,4.2,,,2016-07-18,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
6400,2016,03,201603,6.11,10.86,4.7,4.7,,,2016-07-18,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
6500,2016,03,201603,6.23,10.86,6.2,6.2,,,2016-07-18,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
7100,2016,03,201603,8.34,10.86,6.6,6.6,,,2016-07-18,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
7200,2016,03,201603,14.45,10.86,12.7,12.7,,,2016-07-18,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
7300,2016,03,201603,9.4,10.86,8.5,8.5,,,2016-07-18,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
7400,2016,03,201603,12.88,10.86,12.4,12.4,,,2016-07-18,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
7500,2016,03,201603,17.72,10.86,14.7,14.7,,,2016-07-18,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
7600,2016,03,201603,11.74,10.86,9.4,9.4,,,2016-07-18,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
8100,2016,03,201603,19.18,10.86,17.9,17.9,,,2016-07-18,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
8200,2016,03,201603,6.33,10.86,6.1,6.1,,,2016-07-18,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
