wilayah,tahun,periode,id_periode,nilai,nasional,target,versi,satuan,sumber,id_indikator,nama_indikator
1000,2020,0,202000,71.94,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
1100,2020,0,202000,71.99,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
1200,2020,0,202000,71.77,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
1300,2020,0,202000,72.38,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
1400,2020,0,202000,72.71,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
1500,2020,0,202000,71.29,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
1600,2020,0,202000,70.01,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
1700,2020,0,202000,71.4,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
1800,2020,0,202000,69.69,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
1900,2020,0,202000,71.47,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
2100,2020,0,202000,75.59,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
3100,2020,0,202000,80.77,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
3200,2020,0,202000,72.09,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
3300,2020,0,202000,71.87,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
3400,2020,0,202000,79.97,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
3500,2020,0,202000,71.71,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
3600,2020,0,202000,72.45,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
5100,2020,0,202000,75.5,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
5200,2020,0,202000,68.25,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
5300,2020,0,202000,65.19,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
6100,2020,0,202000,67.66,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
6200,2020,0,202000,71.05,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
6300,2020,0,202000,70.91,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
6400,2020,0,202000,76.24,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
6500,2020,0,202000,70.63,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
7100,2020,0,202000,72.93,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
7200,2020,0,202000,69.55,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
7300,2020,0,202000,71.93,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
7400,2020,0,202000,71.45,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
7500,2020,0,202000,68.68,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
7600,2020,0,202000,66.11,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
8100,2020,0,202000,69.49,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
8200,2020,0,202000,68.49,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
9100,2020,0,202000,65.09,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
9400,2020,0,202000,60.44,71.94,,2020-12-15,,Badan Pusat Statistik,5,ind1_ipm
