wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2020,08,202008,9767754,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1101,2020,08,202008,2535,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1102,2020,08,202008,4129,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1103,2020,08,202008,7116,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1104,2020,08,202008,6030,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1105,2020,08,202008,13526,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1106,2020,08,202008,3670,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1107,2020,08,202008,6777,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1108,2020,08,202008,14291,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1109,2020,08,202008,13890,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1110,2020,08,202008,9590,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1111,2020,08,202008,22877,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1112,2020,08,202008,2525,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1113,2020,08,202008,1119,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1114,2020,08,202008,10875,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1115,2020,08,202008,4189,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1116,2020,08,202008,2129,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1117,2020,08,202008,1180,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1118,2020,08,202008,4824,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1171,2020,08,202008,12510,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1172,2020,08,202008,869,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1173,2020,08,202008,8389,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1174,2020,08,202008,11262,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1175,2020,08,202008,2298,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1201,2020,08,202008,2613,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1202,2020,08,202008,13397,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1203,2020,08,202008,6746,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1204,2020,08,202008,13968,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1205,2020,08,202008,5065,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1206,2020,08,202008,2613,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1207,2020,08,202008,14130,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1208,2020,08,202008,22999,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1209,2020,08,202008,21068,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1210,2020,08,202008,2390,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1211,2020,08,202008,4793,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1212,2020,08,202008,106950,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1213,2020,08,202008,37864,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1214,2020,08,202008,6865,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1215,2020,08,202008,945,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1216,2020,08,202008,578,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1217,2020,08,202008,545,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1218,2020,08,202008,17436,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1219,2020,08,202008,13521,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1220,2020,08,202008,3864,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1221,2020,08,202008,6137,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1222,2020,08,202008,7214,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1223,2020,08,202008,11999,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1224,2020,08,202008,3032,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1225,2020,08,202008,474,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1271,2020,08,202008,3543,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1272,2020,08,202008,5781,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1273,2020,08,202008,15864,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1274,2020,08,202008,8719,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1275,2020,08,202008,121823,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1276,2020,08,202008,12092,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1277,2020,08,202008,8986,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1278,2020,08,202008,3791,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1301,2020,08,202008,2063,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1302,2020,08,202008,15309,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1303,2020,08,202008,9323,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1304,2020,08,202008,6475,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1305,2020,08,202008,8597,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1306,2020,08,202008,2411,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1307,2020,08,202008,16254,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1308,2020,08,202008,11702,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1309,2020,08,202008,6248,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1310,2020,08,202008,7297,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1311,2020,08,202008,5084,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1312,2020,08,202008,7250,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1371,2020,08,202008,9979,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1372,2020,08,202008,65014,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1373,2020,08,202008,2962,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1374,2020,08,202008,2709,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1375,2020,08,202008,1994,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1376,2020,08,202008,5274,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1377,2020,08,202008,4664,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1401,2020,08,202008,8376,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1402,2020,08,202008,10571,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1403,2020,08,202008,15782,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1404,2020,08,202008,14223,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1405,2020,08,202008,47521,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1406,2020,08,202008,12292,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1407,2020,08,202008,23911,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1408,2020,08,202008,13958,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1409,2020,08,202008,24518,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1410,2020,08,202008,13205,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1471,2020,08,202008,7475,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1473,2020,08,202008,12005,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1501,2020,08,202008,3167,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1502,2020,08,202008,9747,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1503,2020,08,202008,8585,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1504,2020,08,202008,5935,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1505,2020,08,202008,11184,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1506,2020,08,202008,1710,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1507,2020,08,202008,3978,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1508,2020,08,202008,5488,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1509,2020,08,202008,10634,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1571,2020,08,202008,31068,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1572,2020,08,202008,2494,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1601,2020,08,202008,11644,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1602,2020,08,202008,13169,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1603,2020,08,202008,15646,9767754,,,,,2021-02-25,Orang,Badan Pusat Statistik,4,ind1_pengangguran
