wilayah,tahun,periode,id_periode,nilai,nasional,target RKP,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2015,00,201500,45119610,45119610,,,,,2023-02-17,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1100,2015,00,201500,25808450,45119610,,,,,2023-02-17,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1200,2015,00,201500,41019540,45119610,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1300,2015,00,201500,34630860,45119610,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1400,2015,00,201500,102887810,45119610,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1500,2015,00,201500,45580040,45119610,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1600,2015,00,201500,41201280,45119610,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1700,2015,00,201500,26845610,45119610,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1800,2015,00,201500,31153720,45119610,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1900,2015,00,201500,44425080,45119610,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
2100,2015,00,201500,101148530,45119610,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
3100,2015,00,201500,195431680,45119610,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
3200,2015,00,201500,32648020,45119610,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
3300,2015,00,201500,29933750,45119610,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
3400,2015,00,201500,27571530,45119610,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
3500,2015,00,201500,43541400,45119610,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
3600,2015,00,201500,40091230,45119610,,,,,2022-12-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
