wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2021,00,202100,13.08,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
1100,2021,00,202100,14.36,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
1200,2021,00,202100,13.9,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
1300,2021,00,202100,14.32,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
1400,2021,00,202100,14.6,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
1500,2021,00,202100,14.01,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
1600,2021,00,202100,13.04,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
1700,2021,00,202100,14.28,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
1800,2021,00,202100,14.61,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
1900,2021,00,202100,14.73,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
2100,2021,00,202100,14.47,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
3100,2021,00,202100,14.84,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
3200,2021,00,202100,14.71,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
3300,2021,00,202100,13.65,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
3400,2021,00,202100,13.78,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
3500,2021,00,202100,13.76,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
3600,2021,00,202100,14.14,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
5100,2021,00,202100,13.99,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
5200,2021,00,202100,13.47,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
5300,2021,00,202100,14.97,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
6100,2021,00,202100,17.8,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
6200,2021,00,202100,14.13,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
6300,2021,00,202100,15.63,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
6400,2021,00,202100,15.21,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
6500,2021,00,202100,14.62,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
7100,2021,00,202100,13.27,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
7200,2021,00,202100,12.84,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
7300,2021,00,202100,13.61,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
7400,2021,00,202100,13.35,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
7500,2021,00,202100,13.07,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
7600,2021,00,202100,13.7,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
8100,2021,00,202100,13.46,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
8200,2021,00,202100,12.74,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
9100,2021,00,202100,12.61,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
9400,2021,00,202100,12.79,13.08,,,,,2021-11-15,Tahun,Badan Pusat Statistik,10,ind1_hls
