wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2019,00,201900,5.02,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1101,2019,00,201900,4.6,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1102,2019,00,201900,3.99,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1103,2019,00,201900,4.43,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1104,2019,00,201900,4.23,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1105,2019,00,201900,4.42,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1106,2019,00,201900,3.51,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1107,2019,00,201900,4.99,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1108,2019,00,201900,4.35,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1109,2019,00,201900,4.43,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1110,2019,00,201900,5,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1111,2019,00,201900,3.48,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1112,2019,00,201900,4.75,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1113,2019,00,201900,1.26,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1114,2019,00,201900,4.55,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1115,2019,00,201900,6.77,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1116,2019,00,201900,3.75,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1117,2019,00,201900,4.32,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1118,2019,00,201900,4.08,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1171,2019,00,201900,4.18,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1172,2019,00,201900,5.82,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1173,2019,00,201900,4.39,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1174,2019,00,201900,3.98,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1175,2019,00,201900,4.42,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1201,2019,00,201900,5.04,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1202,2019,00,201900,5.3,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1203,2019,00,201900,5.23,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1204,2019,00,201900,5.18,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1205,2019,00,201900,4.62,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1206,2019,00,201900,4.85,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1207,2019,00,201900,5.07,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1208,2019,00,201900,5.64,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1209,2019,00,201900,5.2,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1210,2019,00,201900,4.82,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1211,2019,00,201900,4.6,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1212,2019,00,201900,5.18,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1213,2019,00,201900,5.07,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1214,2019,00,201900,5.03,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1215,2019,00,201900,4.94,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1216,2019,00,201900,5.87,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1217,2019,00,201900,5.7,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1218,2019,00,201900,5.28,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1219,2019,00,201900,4.35,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1220,2019,00,201900,5.61,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1221,2019,00,201900,5.64,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1222,2019,00,201900,5.35,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1223,2019,00,201900,5.15,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1224,2019,00,201900,4.65,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1225,2019,00,201900,4.82,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1271,2019,00,201900,5.2,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1272,2019,00,201900,5.79,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1273,2019,00,201900,4.82,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1274,2019,00,201900,5.15,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1275,2019,00,201900,5.93,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1276,2019,00,201900,5.51,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1277,2019,00,201900,5.51,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1278,2019,00,201900,6.05,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1301,2019,00,201900,4.73,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1302,2019,00,201900,4.78,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1303,2019,00,201900,5.04,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1304,2019,00,201900,4.81,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1305,2019,00,201900,4.99,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1306,2019,00,201900,2.4,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1307,2019,00,201900,4.78,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1308,2019,00,201900,5.06,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1309,2019,00,201900,4.8,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1310,2019,00,201900,4.86,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1311,2019,00,201900,4.94,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1312,2019,00,201900,4.45,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1371,2019,00,201900,5.65,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1372,2019,00,201900,5.49,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1373,2019,00,201900,5.31,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1374,2019,00,201900,5.56,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1375,2019,00,201900,5.84,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1376,2019,00,201900,5.89,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1377,2019,00,201900,5.3,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1401,2019,00,201900,4.58,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1402,2019,00,201900,3.78,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1403,2019,00,201900,4.16,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1404,2019,00,201900,3.87,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1405,2019,00,201900,1.47,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1406,2019,00,201900,3.86,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1407,2019,00,201900,4.92,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1408,2019,00,201900,-1.89,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1409,2019,00,201900,0.65,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1410,2019,00,201900,2.64,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1471,2019,00,201900,5.99,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1473,2019,00,201900,5.6,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1501,2019,00,201900,4.23,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1502,2019,00,201900,4.27,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1503,2019,00,201900,4.65,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1504,2019,00,201900,4.93,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1505,2019,00,201900,4.95,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1506,2019,00,201900,4.21,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1507,2019,00,201900,5.01,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1508,2019,00,201900,4.76,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1509,2019,00,201900,4.25,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1571,2019,00,201900,4.79,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1572,2019,00,201900,5.05,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1601,2019,00,201900,5.66,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1602,2019,00,201900,5.08,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1603,2019,00,201900,7.02,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1604,2019,00,201900,5.62,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1605,2019,00,201900,5.87,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1606,2019,00,201900,4.57,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1607,2019,00,201900,5.22,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1608,2019,00,201900,5.04,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1609,2019,00,201900,5.47,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1610,2019,00,201900,5.19,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1611,2019,00,201900,3.62,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1612,2019,00,201900,6.16,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1613,2019,00,201900,4.15,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1671,2019,00,201900,5.93,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1672,2019,00,201900,5.55,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1673,2019,00,201900,3.52,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
1674,2019,00,201900,5.7,5.02,,,,,2021-06-07,%,Badan Pusat Statistik,1,ind1_pertm_ekonomi
