wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2020,03,202003,9.78,9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1101,2020,03,202003,18.49,9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1102,2020,03,202003,20.20,9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1103,2020,03,202003,12.87,9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1104,2020,03,202003,13.21,9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1105,2020,03,202003,14.08,9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1106,2020,03,202003,15.08,9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1107,2020,03,202003,18.34,9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1108,2020,03,202003,"13,84",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1109,2020,03,202003,"19,23",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1110,2020,03,202003,"13,06",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1111,2020,03,202003,"17,02",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1112,2020,03,202003,"15,93",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1113,2020,03,202003,"19,32",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1114,2020,03,202003,"13,08",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1115,2020,03,202003,"17,70",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1116,2020,03,202003,"12,87",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1117,2020,03,202003,"18,89",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1118,2020,03,202003,"19,19",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1171,2020,03,202003,"6,90",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1172,2020,03,202003,"14,94",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1173,2020,03,202003,"10,44",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1174,2020,03,202003,"10,80",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1175,2020,03,202003,"17,60",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1201,2020,03,202003,"16,60",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1202,2020,03,202003,"9,18",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1203,2020,03,202003,"8,47",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1204,2020,03,202003,"12,38",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1205,2020,03,202003,"9,37",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1206,2020,03,202003,"8,71",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1207,2020,03,202003,"8,44",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1208,2020,03,202003,"9,04",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1209,2020,03,202003,"8,46",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1210,2020,03,202003,"8,04",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1211,2020,03,202003,"8,70",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1212,2020,03,202003,"3,88",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1213,2020,03,202003,"9,73",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1214,2020,03,202003,"16,74",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1215,2020,03,202003,"9,36",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1216,2020,03,202003,"9,28",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1217,2020,03,202003,"12,48",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1218,2020,03,202003,"7,97",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1219,2020,03,202003,"11,88",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1220,2020,03,202003,"9,70",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1221,2020,03,202003,"8,37",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1222,2020,03,202003,"8,34",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1223,2020,03,202003,"9,53",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1224,2020,03,202003,"25,07",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
1225,2020,03,202003,"25,69",9.78,,,,,2020-07-15,%,Badan Pusat Statistik,36,ind1_tingkatmiskin
