wilayah,tahun,periode,id_periode,nilai,nasional,target,versi,satuan,sumber,id_indikator,nama_indikator,
1000,2020,00,202000,56.94,56.94,,2021-02-05,Juta Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
1100,2020,00,202000,30.47,56.94,,2021-02-05,Juta Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
1200,2020,00,202000,55.18,56.94,,2021-02-05,Juta Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
1300,2020,00,202000,44.03,56.94,,2021-02-05,Juta Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
1400,2020,00,202000,114.04,56.94,,2021-02-05,Juta Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
1500,2020,00,202000,56.24,56.94,,2021-02-05,Juta Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
1600,2020,00,202000,53.51,56.94,,2021-02-05,Juta Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
1700,2020,00,202000,36.31,56.94,,2021-02-05,Juta Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
1800,2020,00,202000,41.62,56.94,,2021-02-05,Juta Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
1900,2020,00,202000,49.77,56.94,,2021-02-05,Juta Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
2100,2020,00,202000,123.15,56.94,,2021-02-05,Juta Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
3100,2020,00,202000,260.44,56.94,,2021-02-05,Juta Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
3200,2020,00,202000,41.81,56.94,,2021-02-05,Juta Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
3300,2020,00,202000,38.60,56.94,,2021-02-05,Juta Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
3400,2020,00,202000,37.72,56.94,,2021-02-05,Juta Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
3500,2020,00,202000,56.55,56.94,,2021-02-05,Juta Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
3600,2020,00,202000,47.60,56.94,,2021-02-05,Juta Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
5100,2020,00,202000,51.93,56.94,,2021-02-05,Juta Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
5200,2020,00,202000,25.10,56.94,,2021-02-05,Juta Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
5300,2020,00,202000,20.00,56.94,,2021-02-05,Juta Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
6100,2020,00,202000,41.68,56.94,,2021-02-05,Juta Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
6200,2020,00,202000,57.00,56.94,,2021-02-05,Juta Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
6300,2020,00,202000,43.98,56.94,,2021-02-05,Juta Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
6400,2020,00,202000,161.26,56.94,,2021-02-05,Juta Rupiah,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,
