wilayah,tahun,periode,id_periode,nilai,nasional,target,versi,satuan,sumber,id_indikator,nama_indikator
1000,2020,00,202000,12.98,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
1100,2020,00,202000,14.31,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
1200,2020,00,202000,13.23,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
1300,2020,00,202000,14.02,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
1400,2020,00,202000,13.2,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
1500,2020,00,202000,12.98,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
1600,2020,00,202000,12.45,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
1700,2020,00,202000,13.61,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
1800,2020,00,202000,12.65,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
1900,2020,00,202000,12.05,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
2100,2020,00,202000,12.87,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
3100,2020,00,202000,12.98,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
3200,2020,00,202000,12.5,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
3300,2020,00,202000,12.7,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
3400,2020,00,202000,15.59,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
3500,2020,00,202000,13.19,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
3600,2020,00,202000,12.89,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
5100,2020,00,202000,13.33,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
5200,2020,00,202000,13.7,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
5300,2020,00,202000,13.18,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
6100,2020,00,202000,12.6,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
6200,2020,00,202000,12.66,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
6300,2020,00,202000,12.68,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
6400,2020,00,202000,13.72,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
6500,2020,00,202000,12.93,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
7100,2020,00,202000,12.85,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
7200,2020,00,202000,13.17,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
7300,2020,00,202000,13.45,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
7400,2020,00,202000,13.65,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
7500,2020,00,202000,13.08,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
7600,2020,00,202000,12.77,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
8100,2020,00,202000,13.96,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
8200,2020,00,202000,13.67,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
9100,2020,00,202000,12.91,12.98,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls
