wilayah,tahun,periode,id_periode,nilai,nasional,target,versi,satuan,sumber,id_indikator,nama_indikator,,,,
1000,2020,00,202000,11013000,11013000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,11013,11013
1100,2020,00,202000,9492000,11013000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,9492,11013
1200,2020,00,202000,10420000,11013000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,10420,11013
1300,2020,00,202000,10733000,11013000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,10733,11013
1400,2020,00,202000,10675000,11013000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,10675,11013
1500,2020,00,202000,10392000,11013000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,10392,11013
1600,2020,00,202000,10652000,11013000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,10652,11013
1700,2020,00,202000,10380000,11013000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,10380,11013
1800,2020,00,202000,9982000,11013000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,9982,11013
1900,2020,00,202000,12794000,11013000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,12794,11013
2100,2020,00,202000,14209000,11013000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,14209,11013
3100,2020,00,202000,18227000,11013000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,18227,11013
3200,2020,00,202000,10845000,11013000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,10845,11013
3300,2020,00,202000,10930000,11013000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,10930,11013
3400,2020,00,202000,14015000,11013000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,14015,11013
3500,2020,00,202000,11601000,11013000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,11601,11013
3600,2020,00,202000,11964000,11013000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,11964,11013
5100,2020,00,202000,13929000,11013000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,13929,11013
5200,2020,00,202000,10351000,11013000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,10351,11013
5300,2020,00,202000,7598000,11013000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,7598,11013
6100,2020,00,202000,8930000,11013000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,8930,11013
6200,2020,00,202000,11154000,11013000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,11154,11013
6300,2020,00,202000,12032000,11013000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,12032,11013
6400,2020,00,202000,11728000,11013000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,11728,11013
6500,2020,00,202000,8756000,11013000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,8756,11013
