wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2021,00,202100,62236440,62236440,,,,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1100,2021,00,202100,34680460,62236440,,,32940000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1200,2021,00,202100,57569790,62236440,,,,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1300,2021,00,202100,45293750,62236440,,,50930000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1400,2021,00,202100,129852590,62236440,,,,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1500,2021,00,202100,65193220,62236440,,,,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1600,2021,00,202100,57487440,62236440,,,57278000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1700,2021,00,202100,39143430,62236440,,,34500000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1800,2021,00,202100,40950420,62236440,,,44000000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1900,2021,00,202100,58338820,62236440,,,55290000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
2100,2021,00,202100,130125230,62236440,,,,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
3100,2021,00,202100,274709590,62236440,,,,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
3200,2021,00,202100,45299580,62236440,,,44410000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
3300,2021,00,202100,38669110,62236440,,,41870000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
3400,2021,00,202100,40229830,62236440,,,,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
3500,2021,00,202100,60043330,62236440,,,,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
3600,2021,00,202100,55210650,62236440,,,,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
5100,2021,00,202100,50381210,62236440,,,59000000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
5200,2021,00,202100,26002480,62236440,,,,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
5300,2021,00,202100,20581130,62236440,,,20000000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
6100,2021,00,202100,42282900,62236440,,,,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
6200,2021,00,202100,62912850,62236440,,,50000000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
6300,2021,00,202100,46712680,62236440,,,,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
6400,2021,00,202100,182540820,62236440,,,91523139,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
6500,2021,00,202100,155080620,62236440,,,,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
7100,2021,00,202100,54043180,62236440,,,45000000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
7200,2021,00,202100,81733040,62236440,,,58090000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
7300,2021,00,202100,59656240,62236440,,,65760000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
7400,2021,00,202100,52293970,62236440,,,41320000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
7500,2021,00,202100,37170450,62236440,,,37560000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
7600,2021,00,202100,35036020,62236440,,,,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
8100,2021,00,202100,26072980,62236440,,,,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
8200,2021,00,202100,40302320,62236440,,,30964300,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
9100,2021,00,202100,73539000,62236440,,,,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
9400,2021,00,202100,54034260,62236440,,,60130000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
