wilayah,tahun,periode,id_periode,nilai,nasional,target RKP,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator,
1000,2015,03,201503,28592790,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1101,2015,03,201503,18120,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1102,2015,03,201503,24840,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1103,2015,03,201503,29610,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1104,2015,03,201503,30140,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1105,2015,03,201503,63480,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1106,2015,03,201503,34260,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1107,2015,03,201503,41360,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1108,2015,03,201503,62270,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1109,2015,03,201503,88220,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1110,2015,03,201503,73140,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1111,2015,03,201503,111440,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1112,2015,03,201503,25930,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1113,2015,03,201503,19320,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1114,2015,03,201503,40380,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1115,2015,03,201503,31320,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1116,2015,03,201503,13850,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1117,2015,03,201503,29310,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1118,2015,03,201503,31810,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1171,2015,03,201503,19300,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1172,2015,03,201503,5860,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1173,2015,03,201503,19220,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1174,2015,03,201503,23150,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1175,2015,03,201503,15250,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1201,2015,03,201503,24530,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1202,2015,03,201503,47790,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1203,2015,03,201503,31200,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1204,2015,03,201503,52200,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1205,2015,03,201503,33370,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1206,2015,03,201503,18310,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1207,2015,03,201503,41630,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1208,2015,03,201503,85160,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1209,2015,03,201503,92890,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1210,2015,03,201503,25330,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1211,2015,03,201503,37520,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1212,2015,03,201503,95650,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1213,2015,03,201503,114190,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1214,2015,03,201503,58970,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1215,2015,03,201503,18040,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1216,2015,03,201503,5120,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1217,2015,03,201503,17640,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1218,2015,03,201503,58300,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1219,2015,03,201503,50370,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1220,2015,03,201503,27670,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1221,2015,03,201503,22380,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1222,2015,03,201503,36370,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1223,2015,03,201503,39590,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1224,2015,03,201503,43740,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1225,2015,03,201503,25410,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1271,2015,03,201503,11640,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1272,2015,03,201503,25090,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1273,2015,03,201503,25830,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1274,2015,03,201503,18800,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1275,2015,03,201503,207500,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1276,2015,03,201503,18600,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1277,2015,03,201503,18360,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1278,2015,03,201503,34470,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1301,2015,03,201503,13160,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1302,2015,03,201503,38130,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1303,2015,03,201503,36420,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1304,2015,03,201503,17520,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1305,2015,03,201503,20050,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1306,2015,03,201503,35870,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1307,2015,03,201503,36060,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1308,2015,03,201503,28760,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1309,2015,03,201503,21880,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1310,2015,03,201503,11950,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1311,2015,03,201503,15890,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1312,2015,03,201503,32340,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1371,2015,03,201503,44430,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1372,2015,03,201503,2720,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1373,2015,03,201503,1340,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1374,2015,03,201503,3440,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1375,2015,03,201503,6540,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1376,2015,03,201503,8510,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1377,2015,03,201503,4580,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1401,2015,03,201503,34100,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1402,2015,03,201503,31630,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1403,2015,03,201503,56850,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1404,2015,03,201503,47530,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1405,2015,03,201503,24810,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1406,2015,03,201503,72220,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1407,2015,03,201503,64740,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1408,2015,03,201503,40000,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1409,2015,03,201503,49130,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1410,2015,03,201503,61640,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1471,2015,03,201503,33760,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1473,2015,03,201503,14970,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1501,2015,03,201503,19150,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1502,2015,03,201503,35770,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1503,2015,03,201503,28500,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1504,2015,03,201503,28100,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1505,2015,03,201503,18320,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1506,2015,03,201503,30180,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1507,2015,03,201503,39100,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1508,2015,03,201503,23570,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1509,2015,03,201503,19520,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
