wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2021,03,202103,0.42,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1101,2021,03,202103,0.50,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1102,2021,03,202103,0.91,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1103,2021,03,202103,0.40,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1104,2021,03,202103,0.71,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1105,2021,03,202103,0.54,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1106,2021,03,202103,0.80,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1107,2021,03,202103,1.09,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1108,2021,03,202103,0.58,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1109,2021,03,202103,0.84,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1110,2021,03,202103,0.40,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1111,2021,03,202103,0.43,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1112,2021,03,202103,0.74,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1113,2021,03,202103,0.59,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1114,2021,03,202103,0.34,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1115,2021,03,202103,1.01,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1116,2021,03,202103,0.50,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1117,2021,03,202103,1.51,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1118,2021,03,202103,0.97,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1171,2021,03,202103,0.36,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1172,2021,03,202103,0.82,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1173,2021,03,202103,0.33,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1174,2021,03,202103,0.54,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1175,2021,03,202103,0.48,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1201,2021,03,202103,0.43,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1202,2021,03,202103,0.37,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1203,2021,03,202103,0.40,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1204,2021,03,202103,0.47,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1205,2021,03,202103,0.23,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1206,2021,03,202103,0.31,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1207,2021,03,202103,0.29,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1208,2021,03,202103,0.59,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1209,2021,03,202103,0.22,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1210,2021,03,202103,0.28,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1211,2021,03,202103,0.29,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1212,2021,03,202103,0.13,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
1213,2021,03,202103,0.23,0.42,,,,,2021-11-30,%,Badan Pusat Statistik,38,ind1_keparahan
