wilayah;tahun;periode;id_periode;nilai;nasional;target RKP;target_makro_rpjmn ;target_rkpd;target_kewilayahan_rkp;versi;satuan;sumber;id_indikator;nama_indikator
1000;2021;00;202100;3,69;3,69;;5,4;;;05/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
1100;2021;00;202100;2,79;3,69;3,2;4,7;3,5;3,9;05/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
1200;2021;00;202100;2,61;3,69;4,9;6,4;5,5;3,9;05/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
1300;2021;00;202100;3,29;3,69;4,9;5,5;5,92;3,9;05/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
1400;2021;00;202100;3,36;3,69;2,1;4,3;1,8;3,9;05/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
1500;2021;00;202100;3,66;3,69;3,7;5,4;3,77;3,9;05/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
1600;2021;00;202100;3,58;3,69;4,6;6,7;5,7;3,9;05/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
1700;2021;00;202100;3,24;3,69;4,4;5,7;4,4;3,9;05/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
1800;2021;00;202100;2,79;3,69;4,7;5,9;5,5;3,9;05/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
1900;2021;00;202100;5,05;3,69;3;4,6;3,25;3,9;05/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
2100;2021;00;202100;3,43;3,69;3;5,8;4;3,9;05/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
3100;2021;00;202100;3,56;3,69;5;6,1;6,9;4,8;05/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
3200;2021;00;202100;3,74;3,69;4,4;5,5;3,15;4,8;05/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
3300;2021;00;202100;3,32;3,69;5,2;5,8;3,8;4,8;05/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
3400;2021;00;202100;5,53;3,69;5;6,4;3,29;4,8;05/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
3500;2021;00;202100;3,57;3,69;4,7;5,8;4,07;4,8;05/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
3600;2021;00;202100;4,44;3,69;4,5;5,5;5,2;4,8;05/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
5100;2021;00;202100;-2,47;3,69;4,8;6,5;6,8;4,8;05/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
5200;2021;00;202100;2,3;3,69;2,2;4,9;5,5;3,5;05/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
5300;2021;00;202100;2,51;3,69;5,2;6,5;5,01;3,5;05/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
6100;2021;00;202100;4,78;3,69;5;5,5;5,62;3,6;05/09/2022;%;Badan Pusat Statistik;1;ind1_pertm_ekonomi
